x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
43.662617,0.000000,271.796590,1.0,1.0,1.0,5.0,23.27784,3.65357,1.36694,-1.36695,0.0,-2.24138,42.95931238
2.846307,0.000000,271.893520,2.0,2.0,1.0,5.0,28.31599,4.44148,1.45203,-1.45204,0.0,-3.47349,35.31573503
32.572087,0.000000,272.033593,3.0,3.0,1.0,5.0,27.75533,4.61806,1.44335,-1.44335,0.0,-2.25996,36.02911585
24.821613,0.000000,272.230943,4.0,4.0,1.0,5.0,28.16604,4.9374,1.44973,-1.44973,0.0,-2.43024,35.50374849
16.245533,0.000000,272.353623,5.0,5.0,1.0,5.0,26.4886,4.97842,1.42306,-1.42306,0.0,-2.60291,37.75208958
39.388567,0.000000,271.732993,6.0,6.0,1.0,5.0,24.86451,4.05099,1.39558,-1.39558,0.0,-2.05885,40.21796528
8.119990,0.000000,272.878537,7.0,7.0,1.0,5.0,26.36734,4.72139,1.42107,-1.42107,0.0,-3.31488,37.92570657
16.149180,0.000000,271.799827,8.0,8.0,1.0,5.0,25.97002,4.90092,1.41447,-1.41448,0.0,-2.58718,38.50593877
11.844500,0.000000,272.583933,9.0,9.0,1.0,5.0,26.0596,4.87346,1.41597,-1.41597,0.0,-2.89723,38.37357442
7.698463,0.000000,272.607167,10.0,10.0,1.0,5.0,26.45868,4.68695,1.42257,-1.42257,0.0,-3.20576,37.79478039
34.414710,0.000000,271.949903,11.0,11.0,1.0,5.0,26.96779,4.47029,1.43085,-1.43085,0.0,-2.27351,37.08127362
41.645497,0.000000,271.748280,12.0,12.0,1.0,5.0,24.04329,3.84258,1.38099,-1.381,0.0,-2.06892,41.59164574
24.366867,0.000000,271.931660,13.0,13.0,1.0,5.0,27.88186,4.93272,1.44532,-1.44533,0.0,-2.34536,35.86561298
29.391487,0.000000,272.092507,14.0,14.0,1.0,5.0,28.70259,4.80815,1.45792,-1.45793,0.0,-2.35949,34.84006147
40.702807,0.000000,272.107580,15.0,15.0,1.0,5.0,24.63859,3.94817,1.39162,-1.39162,0.0,-2.15006,40.58673812
3.322307,0.000000,272.196070,16.0,16.0,1.0,5.0,28.02297,4.47278,1.44751,-1.44752,0.0,-3.51584,35.68501126
18.273050,0.000000,272.225720,17.0,17.0,1.0,5.0,26.76088,4.98834,1.4275,-1.42751,0.0,-2.72054,37.36797893
11.732917,0.000000,272.090113,18.0,18.0,1.0,5.0,25.81319,4.8109,1.41184,-1.41185,0.0,-2.92619,38.73988453
40.367773,0.000000,271.774307,19.0,19.0,1.0,5.0,24.55626,3.97131,1.39016,-1.39017,0.0,-2.06344,40.72281365
32.975907,0.000000,271.710150,20.0,20.0,1.0,5.0,27.30742,4.56152,1.43628,-1.43629,0.0,-2.16089,36.62008348
0.311317,0.000000,272.166743,21.0,21.0,1.0,5.0,29.85053,4.34656,1.47495,-1.47496,0.0,-3.7797,33.50024271
18.693373,0.000000,272.499143,22.0,22.0,1.0,5.0,26.96879,5.0036,1.43086,-1.43087,0.0,-2.80384,37.07989865
27.098103,0.000000,272.075037,23.0,23.0,1.0,5.0,28.559,4.88656,1.45574,-1.45575,0.0,-2.34903,35.01523163
37.921270,0.000000,271.995440,24.0,24.0,1.0,5.0,25.54791,4.17965,1.40736,-1.40736,0.0,-2.24861,39.14214509
35.341410,0.000000,271.966913,25.0,25.0,1.0,5.0,26.66803,4.40223,1.42599,-1.426,0.0,-2.26723,37.49808291
20.783137,0.000000,272.173417,26.0,26.0,1.0,5.0,27.36084,4.99247,1.43713,-1.43713,0.0,-2.63706,36.5485855
9.575447,0.000000,272.860913,27.0,27.0,1.0,5.0,26.15513,4.8038,1.41756,-1.41756,0.0,-3.30146,38.23341731
13.894077,0.000000,272.418043,28.0,28.0,1.0,5.0,26.14708,4.92628,1.41742,-1.41743,0.0,-2.84254,38.24518837
15.333813,0.000000,272.726820,29.0,29.0,1.0,5.0,26.53298,4.99154,1.42379,-1.42379,0.0,-2.8776,37.6889441
39.791700,0.000000,272.039037,30.0,30.0,1.0,5.0,24.85367,4.02295,1.39539,-1.39539,0.0,-2.2853,40.23550647
13.896000,0.000000,271.883517,31.0,31.0,1.0,5.0,25.76719,4.85574,1.41107,-1.41107,0.0,-2.8918,38.80904359
8.886577,0.000000,272.309000,32.0,32.0,1.0,5.0,26.097,4.73048,1.41659,-1.4166,0.0,-2.98154,38.31858068
14.942033,0.000000,272.428257,33.0,33.0,1.0,5.0,26.2995,4.95618,1.41995,-1.41995,0.0,-2.6701,38.02353657
26.584537,0.000000,272.831177,34.0,34.0,1.0,5.0,29.69047,4.9875,1.47262,-1.47262,0.0,-2.45958,33.68084102
0.788947,0.000000,272.484643,35.0,35.0,1.0,5.0,29.58285,4.37016,1.47104,-1.47104,0.0,-3.89456,33.80336918
9.488707,0.000000,272.394293,36.0,36.0,1.0,5.0,26.03439,4.75041,1.41555,-1.41555,0.0,-3.05957,38.41073288
5.488040,0.000000,272.974817,37.0,37.0,1.0,5.0,27.14939,4.59739,1.43376,-1.43376,0.0,-3.40677,36.83324008
41.255230,0.000000,272.084390,38.0,38.0,1.0,5.0,24.48355,3.91135,1.38887,-1.38888,0.0,-2.23357,40.84375019
25.248090,0.000000,272.031933,39.0,39.0,1.0,5.0,28.08686,4.91136,1.4485,-1.44851,0.0,-2.69134,35.60383752
8.559900,0.000000,272.778920,40.0,40.0,1.0,5.0,26.26859,4.73943,1.41944,-1.41944,0.0,-3.38643,38.0682785
32.100750,0.000000,271.857657,41.0,41.0,1.0,5.0,27.75297,4.63992,1.44331,-1.44331,0.0,-2.52641,36.03217962
7.599993,0.000000,272.037770,42.0,42.0,1.0,5.0,26.37824,4.63959,1.42125,-1.42125,0.0,-3.16517,37.91003494
10.571203,0.000000,272.698247,43.0,43.0,1.0,5.0,26.10821,4.83454,1.41678,-1.41678,0.0,-3.10624,38.30212795
33.494007,0.000000,272.001473,44.0,44.0,1.0,5.0,27.33382,4.54177,1.4367,-1.4367,0.0,-2.35494,36.58471447
3.931037,0.000000,271.962490,45.0,45.0,1.0,5.0,27.74171,4.49176,1.44313,-1.44314,0.0,-3.56074,36.04680461
23.886557,0.000000,272.273400,46.0,46.0,1.0,5.0,28.00054,4.96,1.44717,-1.44717,0.0,-2.49393,35.71359695
26.586023,0.000000,272.352180,47.0,47.0,1.0,5.0,28.59483,4.90635,1.45629,-1.45629,0.0,-2.52464,34.97135671
5.021800,0.000000,272.774370,48.0,48.0,1.0,5.0,27.32623,4.57099,1.43658,-1.43658,0.0,-3.53929,36.59487606
3.732373,0.000000,273.106540,49.0,49.0,1.0,5.0,27.90732,4.5226,1.44572,-1.44572,0.0,-3.56222,35.83289259
28.135010,0.000000,272.090017,50.0,50.0,1.0,5.0,28.74429,4.86523,1.45855,-1.45856,0.0,-2.35522,34.7895182
2.265150,0.000000,272.096170,51.0,51.0,1.0,5.0,28.62089,4.4212,1.45668,-1.45669,0.0,-3.8149,34.93951446
11.139407,0.000000,271.884073,52.0,52.0,1.0,5.0,25.79589,4.78256,1.41155,-1.41156,0.0,-2.93855,38.76586541
14.996183,0.000000,271.883887,53.0,53.0,1.0,5.0,25.8572,4.88195,1.41258,-1.41259,0.0,-2.63365,38.67394768
3.251340,0.000000,272.823533,54.0,54.0,1.0,5.0,28.13587,4.4968,1.44926,-1.44926,0.0,-3.48228,35.54181904
0.748367,0.000000,272.998780,55.0,55.0,1.0,5.0,29.7068,4.38348,1.47286,-1.47286,0.0,-3.80254,33.66232647
2.146073,0.000000,272.530213,56.0,56.0,1.0,5.0,28.88749,4.42413,1.46071,-1.46071,0.0,-3.93855,34.61706088
19.781773,0.000000,271.790263,57.0,57.0,1.0,5.0,26.67888,4.94821,1.42617,-1.42617,0.0,-2.66544,37.48283286
5.771590,0.000000,271.759197,58.0,58.0,1.0,5.0,26.93088,4.55847,1.43025,-1.43026,0.0,-3.20226,37.1320952
10.964867,0.000000,272.937397,59.0,59.0,1.0,5.0,26.15873,4.86631,1.41762,-1.41762,0.0,-3.20622,38.22815557
8.827167,0.000000,273.322443,60.0,60.0,1.0,5.0,26.30217,4.78248,1.41999,-1.42,0.0,-3.25322,38.0196767
9.240583,0.000000,273.319143,61.0,61.0,1.0,5.0,26.25909,4.80414,1.41928,-1.41928,0.0,-3.23664,38.08205083
5.078680,0.000000,273.814893,62.0,62.0,1.0,5.0,27.4319,4.62101,1.43826,-1.43826,0.0,-3.49607,36.4539095
