X	Z
0.0	272.4
1.0	272.4
2.0	272.4
3.0	272.4
4.0	272.4
5.0	272.3
5.9	272.3
7.0	272.3
7.9	272.3
8.9	272.3
9.9	272.4
10.9	272.4
12.0	272.4
13.0	272.4
14.0	272.5
15.0	272.4
16.0	272.4
17.0	272.4
17.9	272.4
18.9	272.4
19.9	272.3
20.9	272.3
21.9	272.4
22.8	272.5
23.9	272.7
24.9	272.8
25.9	272.8
26.7	272.9
27.8	272.9
28.6	273.0
29.8	273.2
30.8	273.4
31.8	273.5
32.9	273.6
33.8	273.7
34.7	273.8
35.9	273.8
36.9	273.9
37.9	274.0
38.9	274.1
39.9	274.3
40.8	274.4
41.9	274.6
42.8	274.7
43.8	274.8
44.8	274.9
45.8	275.1
46.8	275.2
47.8	275.4
48.8	275.5
49.8	275.6
50.8	275.7
51.7	275.9
52.7	276.0
53.7	276.1
54.7	276.2
55.7	276.4
56.7	276.5
57.7	276.6
58.7	276.8
59.7	276.9
60.6	277.0
61.6	277.1
62.6	277.3
63.6	277.4
64.6	277.5
65.6	277.6
66.6	277.8
67.6	277.9
68.5	278.0
69.5	278.1
70.6	278.2
