X	Z
0.0	299.3
1.0	299.3
2.0	299.3
2.9	299.2
4.0	299.2
4.9	299.1
5.9	299.0
6.9	299.0
7.9	298.9
8.9	298.9
9.9	298.8
10.9	298.8
11.9	298.7
12.9	298.7
13.9	298.7
14.9	298.6
15.8	298.6
16.8	298.5
17.8	298.5
18.8	298.5
19.8	298.5
20.8	298.5
21.8	298.4
22.8	298.4
23.8	298.4
24.7	298.3
25.7	298.3
26.8	298.3
27.7	298.2
28.7	298.2
29.8	298.2
30.8	298.2
31.7	298.1
32.8	298.1
33.8	298.1
34.8	298.1
35.8	298.1
36.8	298.1
37.8	298.1
38.8	298.1
39.7	298.1
40.7	298.1
41.8	298.0
42.7	298.0
43.7	298.0
44.7	297.8
45.7	297.6
46.7	297.5
47.7	297.5
48.7	297.4
49.7	297.4
50.7	297.4
51.8	297.3
52.7	297.3
53.7	297.2
54.7	297.2
55.7	297.1
56.7	297.1
57.7	297.0
58.8	297.0
59.7	297.0
60.7	296.9
61.7	296.9
62.7	296.8
63.7	296.8
64.7	296.8
65.7	296.7
66.7	296.7
67.7	296.7
68.7	296.7
69.7	296.7
70.6	296.7
