X	Z
0.0	292.8
0.9	292.8
1.9	292.8
2.9	292.8
4.0	292.9
4.9	292.9
6.0	292.9
7.0	293.0
8.0	293.0
9.0	293.0
9.9	293.1
11.0	293.1
12.0	293.1
13.0	293.1
14.0	293.1
15.0	293.2
16.0	293.2
17.0	293.2
18.0	293.2
19.0	293.3
20.0	293.3
21.0	293.3
22.1	293.3
23.0	293.3
24.0	293.3
25.1	293.3
26.0	293.3
27.0	293.3
28.0	293.3
29.0	293.3
30.0	293.3
31.0	293.4
32.0	293.4
33.0	293.3
34.0	293.3
35.0	293.2
36.0	293.3
36.9	293.3
38.1	293.3
38.9	293.5
40.0	293.5
41.0	293.4
42.0	293.4
43.1	293.4
43.9	293.3
45.0	293.3
46.0	293.3
47.1	293.2
48.0	293.2
49.0	293.2
50.0	293.1
51.0	293.1
52.0	293.0
53.1	293.0
54.0	293.0
55.1	292.9
56.1	292.9
57.1	292.8
58.0	292.8
59.0	292.8
60.0	292.7
61.0	292.7
62.0	292.7
63.1	292.6
64.1	292.6
65.1	292.6
66.1	292.5
67.1	292.5
68.1	292.4
69.1	292.4
70.1	292.3
71.1	292.3
