X	Z
0.0	279.2
1.0	279.2
1.9	279.2
2.9	279.2
3.9	279.2
4.9	279.1
5.7	279.0
6.7	279.0
7.7	279.1
8.7	279.1
9.7	279.1
10.6	279.0
11.6	278.9
12.6	278.9
13.6	278.8
14.6	278.7
15.7	278.7
16.6	278.6
17.6	278.6
18.6	278.5
19.6	278.5
20.6	278.5
21.6	278.4
22.6	278.4
23.6	278.3
24.6	278.3
25.6	278.3
26.6	278.3
27.6	278.2
28.6	278.2
29.6	278.1
30.6	278.1
31.6	278.1
32.6	278.1
33.6	278.0
34.6	278.0
35.6	277.8
36.6	277.6
37.6	277.5
38.6	277.4
39.6	277.4
40.6	277.3
41.5	277.3
42.6	277.2
43.6	277.2
44.6	277.2
45.6	277.1
46.6	277.1
47.5	277.1
48.6	277.1
49.6	277.0
50.6	277.0
51.5	276.9
52.6	276.9
53.6	276.8
54.5	276.8
55.5	276.8
56.5	276.7
57.6	276.7
58.5	276.6
59.5	276.6
60.6	276.6
61.5	276.5
62.5	276.4
63.6	276.4
64.5	276.3
65.6	276.3
66.6	276.2
67.6	276.2
68.5	276.1
69.5	276.1
70.5	276.0
