X	Z
0.0	279.9
1.0	279.9
2.0	279.9
2.9	279.8
4.0	279.8
5.0	279.7
6.0	279.7
7.0	279.6
7.9	279.6
8.9	279.5
9.9	279.4
10.9	279.4
11.9	279.3
12.9	279.3
13.9	279.2
14.9	279.2
15.9	279.1
16.9	279.1
17.9	279.0
18.9	278.9
19.8	278.9
20.8	278.9
21.8	278.8
22.9	278.8
23.9	278.7
24.8	278.7
25.9	278.6
26.9	278.6
27.9	278.5
28.9	278.4
29.8	278.3
30.8	278.3
31.9	278.2
32.9	278.1
33.8	278.1
34.8	278.0
35.9	277.8
36.8	277.7
37.7	277.5
38.9	277.5
39.8	277.3
40.8	277.3
41.8	277.2
42.8	277.2
43.8	277.1
44.9	277.0
45.8	277.0
46.8	277.0
47.8	276.9
48.9	276.9
49.8	276.9
50.8	276.8
51.8	276.8
52.7	276.8
53.7	276.7
54.8	276.7
55.9	276.6
56.9	276.7
57.8	276.6
58.9	276.6
59.9	276.6
60.9	276.6
61.9	276.7
62.8	276.7
63.8	276.7
64.8	276.7
65.8	276.7
66.8	276.7
67.9	276.7
68.9	276.7
69.9	276.7
70.9	276.7
