X	Z
0.0	304.3
1.0	304.3
2.0	304.3
3.0	304.4
4.0	304.4
5.0	304.5
6.0	304.5
7.0	304.6
8.0	304.7
9.0	304.8
10.0	304.9
11.0	305.0
12.0	305.1
13.0	305.1
14.0	305.2
15.0	305.3
15.9	305.4
16.9	305.5
18.0	305.6
19.0	305.7
20.0	305.8
20.9	305.9
21.9	306.0
23.0	306.0
24.0	306.0
25.0	306.1
26.0	306.3
27.0	306.3
28.0	306.3
29.0	306.4
30.0	306.4
31.0	306.4
32.0	306.4
33.0	306.5
34.0	306.7
35.0	306.7
35.9	306.7
36.9	306.6
37.9	306.6
38.9	306.6
40.0	306.6
40.9	306.6
42.0	306.6
43.0	306.6
44.0	306.6
45.0	306.6
46.0	306.6
47.0	306.6
47.9	306.6
49.0	306.6
50.0	306.6
51.0	306.6
52.0	306.5
53.0	306.5
54.0	306.5
55.0	306.5
56.0	306.5
57.0	306.5
58.0	306.5
59.0	306.5
60.0	306.5
61.1	306.5
62.0	306.5
63.1	306.5
64.1	306.5
65.1	306.5
66.1	306.5
67.1	306.5
68.1	306.5
69.1	306.5
70.1	306.5
71.1	306.5
