X	Z
0.0	278.3
1.0	278.3
2.0	278.3
3.0	278.2
3.9	278.1
4.9	278.0
5.9	278.0
7.0	277.9
7.9	277.8
8.9	277.8
10.1	277.7
11.0	277.6
11.9	277.5
13.0	277.4
13.9	277.3
14.9	277.2
15.9	277.1
17.0	277.0
17.9	276.9
18.9	276.8
19.9	276.7
21.0	276.6
21.9	276.5
23.0	276.5
24.0	276.3
25.0	276.3
26.0	276.2
27.0	276.1
28.0	276.0
28.9	275.9
29.9	275.8
30.9	275.7
31.9	275.7
32.9	275.6
33.9	275.5
35.0	275.4
35.8	275.3
36.6	275.3
37.7	275.2
38.6	275.2
39.6	275.1
40.6	275.1
41.7	275.0
42.7	274.9
43.7	274.8
44.6	274.8
45.7	274.7
46.6	274.6
47.8	274.6
48.7	274.5
49.7	274.4
50.7	274.3
51.7	274.3
52.7	274.2
53.6	274.1
54.6	274.0
55.7	274.0
56.6	273.9
57.6	273.8
58.6	273.7
59.7	273.7
60.6	273.6
61.7	273.5
62.6	273.5
63.6	273.4
64.7	273.3
65.7	273.3
66.7	273.2
67.7	273.2
68.6	273.1
69.7	273.0
70.5	273.0
