X	Z
0.0	309.4
1.0	309.4
2.0	309.3
3.0	309.3
4.0	309.2
5.0	309.2
6.0	309.1
6.9	309.1
8.0	309.0
9.0	308.9
10.0	308.9
11.0	308.8
12.0	308.7
13.0	308.7
13.9	308.7
15.0	308.6
15.9	308.6
16.9	308.5
18.0	308.4
19.0	308.3
19.9	308.3
20.9	308.2
21.9	308.0
22.9	307.9
23.9	307.8
24.9	307.8
25.9	307.7
26.9	307.6
27.9	307.5
28.9	307.4
29.9	307.3
30.8	307.2
31.9	307.1
32.8	307.0
33.8	306.9
34.8	306.7
35.8	306.6
36.8	306.4
37.8	306.2
38.7	306.1
39.8	306.0
40.8	305.9
41.7	305.7
42.7	305.6
43.7	305.5
44.6	305.4
45.7	305.3
46.7	305.1
47.7	305.0
48.7	304.8
49.6	304.7
50.7	304.5
51.6	304.4
52.7	304.2
53.8	304.0
54.6	303.9
55.5	303.7
56.6	303.6
57.5	303.4
58.5	303.2
59.7	303.1
60.7	302.9
61.5	302.7
62.5	302.6
63.5	302.4
64.4	302.2
65.4	302.1
66.4	301.9
67.4	301.7
68.4	301.6
69.6	301.4
70.5	301.2
