X	Z
0.0	301.4
1.0	301.4
1.9	301.3
3.0	301.2
4.0	301.0
5.0	300.9
5.9	300.7
7.0	300.6
8.0	300.5
9.1	300.5
10.0	300.4
11.0	300.2
12.0	300.1
13.0	300.0
14.0	299.9
15.0	299.8
15.9	299.7
17.0	299.6
17.9	299.5
19.0	299.4
20.0	299.3
21.0	299.3
21.9	299.2
23.0	299.1
24.0	299.0
25.0	299.0
26.0	298.9
27.0	298.8
28.0	298.7
28.9	298.6
29.9	298.5
31.0	298.4
32.0	298.3
33.0	298.3
34.0	298.2
34.9	298.1
35.9	298.0
36.9	298.0
37.9	297.9
38.9	297.8
39.9	297.8
40.9	297.7
41.9	297.6
43.0	297.6
43.9	297.6
45.0	297.5
45.9	297.5
47.0	297.4
47.9	297.4
49.1	297.4
49.9	297.4
50.8	297.4
52.0	297.4
53.0	297.4
54.0	297.3
55.0	297.3
56.0	297.3
57.0	297.3
58.0	297.3
59.0	297.3
60.1	297.3
61.0	297.4
62.0	297.4
63.1	297.4
64.0	297.5
65.0	297.5
66.1	297.6
67.0	297.7
68.0	297.8
69.0	297.9
70.1	297.9
71.0	298.0
