X	Z
0.0	293.0
1.0	293.0
1.9	293.0
3.0	293.0
3.9	293.0
4.9	293.0
5.9	293.0
6.9	293.0
7.9	293.1
8.9	293.1
9.9	293.1
10.9	293.1
12.0	293.1
13.0	293.1
14.0	293.2
15.0	293.2
15.9	293.2
17.0	293.2
18.0	293.2
19.0	293.2
20.0	293.2
21.0	293.2
22.0	293.2
23.1	293.2
24.1	293.2
25.0	293.2
26.1	293.2
27.1	293.2
28.1	293.2
29.1	293.3
30.1	293.3
31.1	293.3
32.1	293.2
33.1	293.3
34.1	293.3
35.1	293.3
36.1	293.3
37.1	293.3
38.1	293.3
39.1	293.3
40.1	293.3
41.1	293.4
42.1	293.4
43.2	293.4
44.1	293.4
45.2	293.4
46.2	293.4
47.2	293.4
48.2	293.4
49.2	293.4
50.2	293.4
51.2	293.4
52.2	293.4
53.2	293.4
54.2	293.4
55.1	293.4
56.2	293.4
57.2	293.4
58.2	293.5
59.2	293.5
60.3	293.5
61.2	293.5
62.2	293.4
63.2	293.4
64.3	293.4
65.2	293.4
66.2	293.4
67.2	293.5
68.2	293.4
69.2	293.4
70.2	293.5
71.2	293.4
