ElecID    X    Y    Z
1	-88068.080000	335884.599000	279.924787
2	-88068.123000	335883.600000	279.880888
3	-88068.120000	335882.602000	279.832114
4	-88068.115000	335881.674000	279.784955
5	-88068.118000	335880.616000	279.729233
6	-88068.107000	335879.630000	279.674127
7	-88068.149000	335878.621000	279.623543
8	-88068.143000	335877.631000	279.561521
9	-88068.127000	335876.714000	279.504500
10	-88068.052000	335875.702000	279.449609
11	-88068.105000	335874.716000	279.399364
12	-88068.066000	335873.661000	279.335326
13	-88068.036000	335872.722000	279.282727
14	-88068.032000	335871.699000	279.224156
15	-88068.091000	335870.751000	279.169443
16	-88068.024000	335869.688000	279.102581
17	-88068.050000	335868.728000	279.055007
18	-88068.130000	335867.751000	279.003032
19	-88068.070000	335866.704000	278.940578
20	-88068.032000	335865.760000	278.905596
21	-88068.040000	335864.773000	278.870458
22	-88067.961000	335863.786000	278.818519
23	-88068.007000	335862.803000	278.771207
24	-88068.058000	335861.724000	278.713252
25	-88068.127000	335860.766000	278.674085
26	-88068.027000	335859.835000	278.629495
27	-88068.002000	335858.773000	278.577758
28	-88067.978000	335857.769000	278.520209
29	-88068.049000	335856.714000	278.425000
30	-88068.053000	335855.770000	278.345166
31	-88068.093000	335854.821000	278.279844
32	-88067.999000	335853.790000	278.152746
33	-88068.054000	335852.774000	278.102569
34	-88068.111000	335851.773000	278.091955
35	-88068.106000	335850.801000	277.969633
36	-88068.129000	335849.811000	277.846440
37	-88068.043000	335848.770000	277.692959
38	-88067.966000	335847.802000	277.546955
39	-88068.026000	335846.921000	277.455375
40	-88067.973000	335845.781000	277.345488
41	-88067.972000	335844.806000	277.284169
42	-88067.980000	335843.814000	277.214135
43	-88067.958000	335842.855000	277.165295
44	-88067.934000	335841.804000	277.099160
45	-88067.932000	335840.821000	277.045943
46	-88067.900000	335839.802000	276.996878
47	-88067.984000	335838.893000	276.964784
48	-88068.014000	335837.888000	276.948851
49	-88068.020000	335836.879000	276.898111
50	-88068.006000	335835.799000	276.875018
51	-88067.953000	335834.815000	276.795282
52	-88067.945000	335833.813000	276.752918
53	-88067.940000	335832.814000	276.757272
54	-88068.013000	335831.933000	276.730963
55	-88067.992000	335830.917000	276.680448
56	-88067.881000	335829.826000	276.640740
57	-88067.968000	335828.802000	276.660216
58	-88067.987000	335827.818000	276.638468
59	-88067.951000	335826.856000	276.608542
60	-88067.952000	335825.731000	276.613781
61	-88068.013000	335824.764000	276.638927
62	-88068.000000	335823.768000	276.654398
63	-88067.987000	335822.772000	276.677382
64	-88068.036000	335821.851000	276.659613
65	-88068.032000	335820.865000	276.650099
66	-88067.985000	335819.871000	276.685811
67	-88068.047000	335818.858000	276.688479
68	-88068.086000	335817.867000	276.687222
69	-88068.095000	335816.825000	276.708210
70	-88068.119000	335815.800000	276.715759
71	-88068.050000	335814.787000	276.723723
72	-88068.084000	335813.801000	276.725257
