X	Z
0.0	273.6
1.0	273.6
2.2	273.5
3.4	273.5
4.4	273.5
5.3	273.5
6.3	273.5
7.4	273.5
8.4	273.5
9.3	273.4
10.3	273.4
11.3	273.4
12.2	273.4
13.2	273.4
14.2	273.4
15.2	273.4
16.2	273.3
17.2	273.3
18.2	273.2
19.2	273.2
20.1	273.2
21.2	273.2
22.2	273.1
23.2	273.1
24.3	273.2
25.2	273.3
26.3	273.3
27.2	273.3
28.2	273.5
29.3	273.6
30.3	273.6
31.3	273.7
32.3	273.7
33.3	273.8
34.2	273.9
35.2	273.9
36.2	274.0
37.3	274.0
38.2	274.1
39.2	274.3
40.2	274.4
41.2	274.5
42.1	274.7
43.2	274.8
44.1	274.9
45.1	275.0
46.1	275.1
47.1	275.3
48.1	275.4
49.1	275.5
50.0	275.6
51.1	275.8
52.1	275.9
53.1	276.1
54.1	276.2
55.1	276.3
56.1	276.4
57.0	276.6
58.0	276.7
59.0	276.8
59.9	276.9
60.9	277.0
61.9	277.2
62.9	277.3
63.9	277.4
64.9	277.6
65.9	277.7
66.9	277.8
67.9	277.9
68.9	278.0
69.8	278.1
70.8	278.2
