X	Z
0.0	289.2
1.0	289.2
2.0	289.2
3.0	289.2
4.1	289.1
5.0	289.1
6.0	289.1
7.0	289.0
8.0	289.0
9.0	289.0
10.0	288.9
11.0	288.9
11.9	288.9
12.9	288.8
13.8	288.8
14.8	288.8
15.9	288.8
16.9	288.7
17.8	288.7
18.9	288.7
20.0	288.7
20.8	288.7
21.8	288.7
22.9	288.7
23.9	288.6
24.8	288.6
25.9	288.6
26.9	288.6
27.9	288.5
28.9	288.5
29.9	288.5
30.9	288.5
31.9	288.5
32.9	288.5
33.9	288.4
34.9	288.4
35.8	288.4
36.9	288.4
37.9	288.4
38.9	288.3
39.9	288.3
40.8	288.3
41.8	288.3
42.8	288.3
43.8	288.3
44.9	288.2
45.9	288.2
46.9	288.2
47.9	288.2
48.8	288.2
49.8	288.1
50.8	288.1
51.8	288.1
52.8	288.1
53.9	288.1
54.8	288.1
55.8	288.1
56.8	288.1
57.8	288.1
58.7	288.1
59.7	288.1
60.7	288.1
61.7	288.1
62.7	288.1
63.7	288.0
64.6	288.0
65.6	287.9
66.6	287.9
67.6	287.8
68.6	287.7
69.5	287.6
70.5	287.5
