    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        4.68159         87.968         73.512            0.040            0.559         0.14142E+00    0.19582E+00    1
    2    1         4    5        0.52879         59.344         59.974            0.240            0.659         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.88107         53.273         54.220            1.220            1.024         0.14142E+00    0.14142E+00    0
    2    1         6    7        1.18797         56.327         54.924            0.200            0.757         0.14142E+00    0.14571E+00    1
    2    1         7    8        1.21430         41.331         40.340            1.470            1.291         0.14142E+00    0.14142E+00    0
    2    1         8    9        1.18751         54.226         52.953            1.350            1.667         0.14142E+00    0.14142E+00    0
    2    1         9   10        1.41706         46.513         44.923            2.850            2.167         0.14142E+00    0.15666E+00    1
    2    1        10   11        1.32264         66.556         63.889            3.620            2.448         0.14142E+00    0.17589E+00    1
    3    2         4    5        5.51319         88.677         69.793            0.180            0.394         0.14142E+00    0.20841E+00    1
    3    2         5    6        0.64538         59.669         58.904            0.870            0.712         0.14142E+00    0.14142E+00    0
    3    2         6    7        0.34266         55.403         55.026           -0.290            0.390         0.14142E+00    0.14142E+00    0
    3    2         7    8        0.24133         38.859         38.672            0.700            0.919         0.14142E+00    0.14142E+00    0
    3    2         8    9        0.48575         50.256         49.771            0.650            1.289         0.14142E+00    0.14142E+00    0
    3    2         9   10        1.47638         43.385         41.830            2.170            1.804         0.14142E+00    0.15725E+00    1
    3    2        10   11        1.67361         62.763         59.416            2.030            2.112         0.14142E+00    0.18095E+00    1
    3    2        11   12        1.81053         48.149         45.674            3.170            2.130         0.14142E+00    0.17073E+00    1
    3    1         5    7        0.31793         57.059         56.698            0.650            0.726         0.14142E+00    0.14142E+00    0
    3    1         7    9        0.72267         44.014         43.383            1.020            1.224         0.14142E+00    0.14142E+00    0
    3    1         9   11        1.49202         51.905         49.765            2.220            2.100         0.14142E+00    0.16797E+00    1
    3    1        11   13        1.30633         50.360         48.783            2.640            2.291         0.14142E+00    0.15610E+00    1
    3    1        13   15        0.13308         52.282         52.420            2.540            2.934         0.14142E+00    0.14142E+00    0
    3    1        15   17        1.67336         56.934         59.049            2.620            2.692         0.14142E+00    0.14765E+00    1
    3    1        17   19        1.94681         58.792         61.875            1.880            3.063         0.14142E+00    0.16205E+00    1
