    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        1.76937         46.223         43.972            1.010            2.110         0.14142E+00    0.16799E+00    1
    2    1         4    5        2.45034         52.790         48.273            0.840            2.240         0.14142E+00    0.19106E+00    1
    2    1         5    6        1.16929         59.003         57.424            2.290            2.388         0.14142E+00    0.15231E+00    1
    2    1         6    7        1.58988         49.313         47.417            2.280            2.389         0.14142E+00    0.15705E+00    1
    2    1         7    8        1.58922         47.862         45.989            2.490            2.159         0.14142E+00    0.15848E+00    1
    2    1         8    9        1.32258         54.940         53.375            2.970            2.340         0.14142E+00    0.14781E+00    1
    2    1         9   10        0.78771         55.435         54.569            2.210            2.413         0.14142E+00    0.14142E+00    0
    2    1        10   11        0.37409         54.777         54.376            4.770            3.475         0.14142E+00    0.14142E+00    0
    3    2         5    6        1.95750         41.563         39.211            2.010            2.215         0.14142E+00    0.17251E+00    1
    3    2         6    7        1.69161         34.800         33.359            2.030            2.234         0.14142E+00    0.15814E+00    1
    3    2         7    8        1.53750         34.668         33.387            2.040            2.023         0.14142E+00    0.15647E+00    1
    3    2         8    9        1.18683         40.633         39.625            2.580            2.215         0.14142E+00    0.14546E+00    1
    3    2         9   10        0.61089         41.634         41.129            1.530            2.287         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.25497         40.764         40.968            4.440            3.379         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.62740         36.387         36.846            3.040            2.943         0.14142E+00    0.14142E+00    0
    3    1         5    7        1.70052         43.458         41.518            2.080            2.277         0.14142E+00    0.16387E+00    1
    3    1         7    9        1.44653         41.133         39.756            2.340            2.149         0.14142E+00    0.15346E+00    1
    3    1         9   11        0.41210         46.217         45.838            2.620            2.813         0.14142E+00    0.14142E+00    0
    3    1        11   13        0.28276         43.026         43.270            3.360            3.182         0.14142E+00    0.14142E+00    0
    3    1        13   15        0.63370         38.328         38.816            3.740            3.372         0.14142E+00    0.14142E+00    0
    3    1        15   17        1.38175         40.758         42.001            2.830            3.207         0.14142E+00    0.14743E+00    1
    3    1        17   19        1.72298         38.023         39.703            3.420            3.146         0.14142E+00    0.15839E+00    1
    3    1        19   21        1.94959         36.883         38.925            4.050            3.293         0.14142E+00    0.16626E+00    1
    4    3         5    6        0.78636         32.222         31.719            1.970            1.968         0.14142E+00    0.14142E+00    0
    4    3         6    7        0.46991         28.171         28.437            1.750            1.989         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.76577         30.560         30.095            1.690            1.799         0.14142E+00    0.14142E+00    0
    4    3         8    9        1.12804         38.162         37.223            2.490            2.002         0.14142E+00    0.14864E+00    1
    4    3         9   10        1.09415         40.290         39.419            1.400            2.068         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.43179         40.406         40.058            3.410            3.191         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.34459         36.689         36.437            2.830            2.776         0.14142E+00    0.14142E+00    0
    4    3        12   13        1.01765         41.727         40.886            3.740            3.285         0.14142E+00    0.14142E+00    0
    4    2         6    8        0.53487         30.451         30.127            1.800            1.999         0.14142E+00    0.14142E+00    0
    4    2         8   10        1.10351         39.642         38.754            2.160            2.104         0.14142E+00    0.14329E+00    1
    4    2        10   12        0.10612         38.946         38.864            3.330            3.103         0.14142E+00    0.14142E+00    0
    4    2        12   14        0.53086         38.392         37.987            3.790            3.309         0.14142E+00    0.14142E+00    0
    4    2        14   16        0.20621         36.110         35.961            3.220            3.198         0.14142E+00    0.14142E+00    0
    4    2        16   18        0.15118         34.823         34.928            3.180            3.113         0.14142E+00    0.14142E+00    0
    4    2        18   20        0.37382         35.122         35.386            3.340            3.194         0.14142E+00    0.14142E+00    0
    4    2        20   22        0.94189         32.789         33.410            1.710            3.412         0.14142E+00    0.14142E+00    0
    4    1         7   10        1.15802         37.301         36.416            2.010            2.036         0.14142E+00    0.14401E+00    1
    4    1        10   13        0.19590         41.939         41.776            3.540            3.198         0.14142E+00    0.14142E+00    0
