    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.55595         32.427         32.068            1.950            1.956         0.14142E+00    0.14142E+00    0
    2    1         4    5        1.18151         31.631         30.892            1.710            1.764         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.24352         32.094         31.939            1.970            1.631         0.14142E+00    0.14142E+00    0
    2    1         6    7        0.12993         35.602         35.693            2.060            1.548         0.14142E+00    0.14142E+00    0
    2    1         7    8        0.62276         36.789         37.250            2.400            1.730         0.14142E+00    0.14142E+00    0
    2    1         8    9        0.37390         32.998         33.246            2.040            1.514         0.14142E+00    0.14142E+00    0
    2    1         9   10        0.46347         34.457         34.778            2.390            2.054         0.14142E+00    0.14142E+00    0
    2    1        10   11        0.25671         34.925         35.104            2.490            2.036         0.14142E+00    0.14142E+00    0
    3    2         4    5        1.09149         37.666         38.497            1.620            1.777         0.14142E+00    0.14142E+00    0
    3    2         5    6        0.62542         39.210         39.704            2.150            1.688         0.14142E+00    0.14142E+00    0
    3    2         6    7        0.19750         44.380         44.208            2.280            1.619         0.14142E+00    0.14142E+00    0
    3    2         7    8        0.23981         46.719         46.499            2.590            1.789         0.14142E+00    0.14142E+00    0
    3    2         8    9        0.46302         42.210         41.823            2.430            1.544         0.14142E+00    0.14142E+00    0
    3    2         9   10        0.32849         44.301         44.012            2.590            2.032         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.49189         45.037         44.596            2.100            1.967         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.35851         49.238         48.887            2.000            1.504         0.14142E+00    0.14142E+00    0
    3    1         5    7        0.26494         38.437         38.641            2.130            1.650         0.14142E+00    0.14142E+00    0
    3    1         7    9        0.07037         41.469         41.421            2.500            1.689         0.14142E+00    0.14142E+00    0
    3    1         9   11        0.15824         40.590         40.464            2.520            2.020         0.14142E+00    0.14142E+00    0
    3    1        11   13        0.20116         45.168         44.990            2.520            1.728         0.14142E+00    0.14142E+00    0
    3    1        13   15        0.22530         53.363         53.124            2.780            2.428         0.14142E+00    0.14142E+00    0
    3    1        15   17        0.41585         54.806         54.355            3.040            4.055         0.14142E+00    0.14142E+00    0
    3    1        17   19        1.45910         52.131         50.306            3.560            6.861         0.14142E+00    0.15658E+00    1
    3    1        19   21        2.31007         44.617         41.322            3.220            9.743         0.14142E+00    0.18252E+00    1
    4    3         5    6        0.31124         40.893         41.148            1.690            1.651         0.14142E+00    0.14142E+00    0
    4    3         6    7        0.06262         44.534         44.587            2.070            1.713         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.23152         47.815         47.596            2.500            1.946         0.14142E+00    0.14142E+00    0
    4    3         8    9        0.30197         43.306         43.047            2.350            1.719         0.14142E+00    0.14142E+00    0
    4    3         9   10        0.20978         45.791         45.600            2.620            2.181         0.14142E+00    0.14142E+00    0
