    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.67881         39.367         38.836            1.710            1.975         0.14142E+00    0.14142E+00    0
    2    1         4    5        1.09313         29.824         30.483            1.830            2.195         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.65834         35.266         34.805            2.040            2.498         0.14142E+00    0.14142E+00    0
    2    1         6    7        0.73323         34.084         33.589            2.030            2.664         0.14142E+00    0.14142E+00    0
    2    1         7    8        1.19237         34.357         33.548            2.330            2.908         0.14142E+00    0.14142E+00    0
    2    1         8    9        1.45811         35.944         34.877            2.580            3.087         0.14142E+00    0.14378E+00    1
    2    1         9   10        1.03723         30.125         29.507            1.890            3.082         0.14142E+00    0.14142E+00    0
    2    1        10   11        0.47093         30.190         29.907            2.290            3.017         0.14142E+00    0.14142E+00    0
    3    2         4    5        1.26568         28.976         29.719            1.880            2.162         0.14142E+00    0.14142E+00    0
    3    2         5    6        0.48973         36.017         35.667            2.040            2.357         0.14142E+00    0.14142E+00    0
    3    2         6    7        0.41182         35.646         35.355            1.910            2.447         0.14142E+00    0.14142E+00    0
    3    2         7    8        1.05492         36.420         35.660            2.070            2.652         0.14142E+00    0.14142E+00    0
    3    2         8    9        1.45972         38.382         37.243            2.250            2.823         0.14142E+00    0.14362E+00    1
    3    2         9   10        1.16894         32.322         31.576            2.220            2.831         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.77394         32.635         32.134            1.890            2.797         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.37975         32.099         31.856            3.060            2.985         0.14142E+00    0.14142E+00    0
    3    1         5    7        0.52230         35.594         35.225            2.040            2.432         0.14142E+00    0.14142E+00    0
    3    1         7    9        1.25865         36.299         35.397            2.250            2.806         0.14142E+00    0.14142E+00    0
    3    1         9   11        0.94487         31.529         30.940            2.230            2.910         0.14142E+00    0.14142E+00    0
    3    1        11   13        0.21973         30.254         30.122            2.520            3.026         0.14142E+00    0.14142E+00    0
    3    1        13   15        0.41879         27.248         27.477            2.980            2.791         0.14142E+00    0.14142E+00    0
    3    1        15   17        1.21666         25.077         25.694            3.300            2.374         0.14142E+00    0.14142E+00    0
    3    1        17   19        0.97062         22.775         23.221            3.440            2.616         0.14142E+00    0.14142E+00    0
    4    3         5    6        3.69355         46.846         40.985            2.290            2.473         0.14142E+00    0.19023E+00    1
    4    3         6    7        0.84054         42.731         42.019            1.780            2.441         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.51701         43.881         43.430            1.970            2.572         0.14142E+00    0.14142E+00    0
    4    3         8    9        0.86351         46.247         45.455            2.130            2.710         0.14142E+00    0.14142E+00    0
    4    3         9   10        0.63192         39.629         39.132            1.970            2.711         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.40628         40.528         40.201            2.390            2.690         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.04655         39.882         39.845            2.790            2.908         0.14142E+00    0.14142E+00    0
    4    3        12   13        0.19375         37.554         37.699            2.500            2.898         0.14142E+00    0.14142E+00    0
    4    2         6    8        0.70843         40.671         40.099            1.880            2.491         0.14142E+00    0.14142E+00    0
    4    2         8   10        1.00177         40.510         39.707            2.130            2.751         0.14142E+00    0.14142E+00    0
    4    2        10   12        0.41519         36.882         36.577            2.330            2.813         0.14142E+00    0.14142E+00    0
    4    2        12   14        0.12475         33.135         33.217            2.520            2.811         0.14142E+00    0.14142E+00    0
    4    2        14   16        0.69512         30.702         31.132            2.880            2.729         0.14142E+00    0.14142E+00    0
    4    2        16   18        0.70349         28.423         28.825            3.330            2.662         0.14142E+00    0.14142E+00    0
    4    2        18   20        0.90514         24.804         25.257            3.220            2.667         0.14142E+00    0.14142E+00    0
    4    1         7   10        0.90980         39.560         38.847            2.110            2.719         0.14142E+00    0.14142E+00    0
    4    1        10   13        0.34423         34.680         34.443            2.520            2.882         0.14142E+00    0.14142E+00    0
    4    1        13   16        0.59826         29.649         30.006            2.700            2.700         0.14142E+00    0.14142E+00    0
    4    1        16   19        0.82909         26.377         26.818            3.310            2.610         0.14142E+00    0.14142E+00    0
    4    1        19   22        0.87519         23.705         24.121            4.770            2.910         0.14142E+00    0.14142E+00    0
    4    1        22   25        0.94287         20.585         20.975            5.210            3.520         0.14142E+00    0.14142E+00    0
    4    1        25   28        1.51175         21.454         22.113            4.230            4.106         0.14142E+00    0.14142E+00    0
    4    1        28   31        1.74533         20.667         21.516            4.890            4.213         0.14142E+00    0.15193E+00    1
    5    4         6    7        2.77093         37.383         34.473            1.620            2.524         0.14142E+00    0.17104E+00    1
    5    4         7    8        0.06793         36.817         36.860            1.860            2.518         0.14142E+00    0.14142E+00    0
    5    4         8    9        0.19980         39.604         39.447            2.010            2.583         0.14142E+00    0.14142E+00    0
    5    4         9   10        0.50222         34.733         34.387            1.830            2.554         0.14142E+00    0.14142E+00    0
