x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
6.199303,0.000000,254.725033,46.0,46.0,1.0,5.0,17.62009,5.15981,1.24601,-1.24601,0.0,-3.3702,56.7533991
22.020647,0.000000,256.637057,47.0,47.0,1.0,5.0,18.21884,5.87082,1.26052,-1.26053,0.0,-2.41852,54.88823657
41.982117,0.000000,255.106303,48.0,48.0,1.0,5.0,16.74572,3.88177,1.2239,-1.22391,0.0,-2.65762,59.7167515
44.402117,0.000000,255.474977,49.0,49.0,1.0,5.0,16.44608,3.55788,1.21606,-1.21607,0.0,-2.54188,60.8047632
41.538623,0.000000,256.368270,50.0,50.0,1.0,5.0,16.85048,3.92317,1.22661,-1.22662,0.0,-2.52319,59.34549045
22.529830,0.000000,255.302990,51.0,51.0,1.0,5.0,18.0934,5.73762,1.25752,-1.25753,0.0,-2.39978,55.26877204
40.153657,0.000000,255.536543,52.0,52.0,1.0,5.0,16.99064,4.10931,1.23021,-1.23021,0.0,-2.59634,58.8559348
35.800713,0.000000,255.949240,53.0,53.0,1.0,5.0,17.55539,4.69886,1.24441,-1.24442,0.0,-2.55377,56.9625625
35.344207,0.000000,255.860803,54.0,54.0,1.0,5.0,17.59757,4.75072,1.24545,-1.24546,0.0,-2.39173,56.82602768
34.592530,0.000000,256.275503,55.0,55.0,1.0,5.0,17.69751,4.84661,1.24791,-1.24792,0.0,-2.52399,56.50512417
34.572537,0.000000,255.261330,56.0,56.0,1.0,5.0,17.64443,4.8358,1.24661,-1.24661,0.0,-2.43316,56.67510937
32.540947,0.000000,256.331787,57.0,57.0,1.0,5.0,17.91637,5.10778,1.25325,-1.25326,0.0,-2.39475,55.81487768
16.891433,0.000000,255.645300,58.0,58.0,1.0,5.0,17.97932,5.81278,1.25477,-1.25478,0.0,-2.44926,55.61945613
27.374473,0.000000,256.568850,59.0,59.0,1.0,5.0,18.19993,5.57901,1.26007,-1.26008,0.0,-2.41521,54.94526627
43.488050,0.000000,255.848750,60.0,60.0,1.0,5.0,16.56775,3.66631,1.21926,-1.21927,0.0,-2.81096,60.35822607
34.331483,0.000000,255.867190,61.0,61.0,1.0,5.0,17.7097,4.8875,1.24821,-1.24822,0.0,-2.40199,56.46623037
23.085030,0.000000,254.957453,62.0,62.0,1.0,5.0,18.08369,5.70711,1.25729,-1.25729,0.0,-2.31906,55.29844849
39.206333,0.000000,254.737557,63.0,63.0,1.0,5.0,17.08444,4.24916,1.2326,-1.2326,0.0,-2.3694,58.53279358
53.948723,0.000000,254.962460,64.0,64.0,1.0,5.0,15.30898,2.44959,1.18495,-1.18495,0.0,-3.43629,65.32113831
8.218003,0.000000,255.957570,65.0,65.0,1.0,5.0,17.69812,5.41314,1.24793,-1.24793,0.0,-2.8433,56.50317661
4.452597,0.000000,254.925260,66.0,66.0,1.0,5.0,17.5812,5.01736,1.24505,-1.24505,0.0,-3.38542,56.87893887
4.526307,0.000000,255.606483,67.0,67.0,1.0,5.0,17.595,5.06862,1.24539,-1.24539,0.0,-3.39072,56.83432793
13.329093,0.000000,255.218103,68.0,68.0,1.0,5.0,17.84489,5.67495,1.25151,-1.25152,0.0,-2.66978,56.03845134
0.428860,0.000000,256.327857,69.0,69.0,1.0,5.0,17.52668,4.70359,1.2437,-1.2437,0.0,-3.54582,57.05587139
21.940983,0.000000,255.074963,70.0,70.0,1.0,5.0,18.08124,5.74375,1.25723,-1.25724,0.0,-2.39555,55.30594141
31.998540,0.000000,256.355417,71.0,71.0,1.0,5.0,17.94646,5.14686,1.25398,-1.25398,0.0,-2.41951,55.72129545
53.585863,0.000000,254.736293,72.0,72.0,1.0,5.0,15.36585,2.50927,1.18656,-1.18656,0.0,-3.32568,65.07938057
21.998893,0.000000,256.157443,73.0,73.0,1.0,5.0,18.16176,5.82314,1.25916,-1.25917,0.0,-2.40366,55.06074301
8.624487,0.000000,254.847720,74.0,74.0,1.0,5.0,17.68745,5.36334,1.24767,-1.24767,0.0,-2.95258,56.5372623
23.110270,0.000000,256.072300,75.0,75.0,1.0,5.0,18.17529,5.79144,1.25948,-1.25949,0.0,-2.36899,55.01975484
9.335627,0.000000,255.718047,76.0,76.0,1.0,5.0,17.72873,5.48668,1.24868,-1.24868,0.0,-2.96099,56.40561958
34.153113,0.000000,254.858277,77.0,77.0,1.0,5.0,17.67122,4.8845,1.24727,-1.24727,0.0,-2.37012,56.58918852
5.590707,0.000000,254.839900,78.0,78.0,1.0,5.0,17.60888,5.12092,1.24573,-1.24574,0.0,-3.35211,56.78952892
17.993803,0.000000,255.549620,79.0,79.0,1.0,5.0,18.0154,5.82324,1.25564,-1.25565,0.0,-2.26433,55.50806532
23.664710,0.000000,255.810983,80.0,80.0,1.0,5.0,18.1665,5.75987,1.25927,-1.25928,0.0,-2.27546,55.04637657
21.469543,0.000000,255.982277,81.0,81.0,1.0,5.0,18.14612,5.82797,1.25878,-1.25879,0.0,-2.37342,55.10819944
30.192653,0.000000,255.073193,82.0,82.0,1.0,5.0,17.95862,5.27872,1.25427,-1.25428,0.0,-2.14699,55.68356589
27.702810,0.000000,256.249363,83.0,83.0,1.0,5.0,18.16253,5.53159,1.25918,-1.25918,0.0,-2.37717,55.05840871
1.459397,0.000000,255.430397,84.0,84.0,1.0,5.0,17.52738,4.7607,1.24372,-1.24372,0.0,-3.63772,57.05359272
43.690480,0.000000,254.781917,85.0,85.0,1.0,5.0,16.53866,3.678,1.2185,-1.2185,0.0,-2.50513,60.46439071
32.676870,0.000000,255.373173,86.0,86.0,1.0,5.0,17.80837,5.04476,1.25062,-1.25063,0.0,-2.24499,56.15337058
