    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.20842         36.302         36.454            2.160            1.948         0.14142E+00    0.14142E+00    0
    2    1         4    5        0.19495         42.591         42.425            2.370            2.174         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.63950         41.753         41.223            1.560            2.202         0.14142E+00    0.14142E+00    0
    2    1         6    7        0.52178         48.050         47.552            2.080            2.403         0.14142E+00    0.14142E+00    0
    2    1         7    8        0.80834         42.660         41.978            1.020            2.245         0.14142E+00    0.14142E+00    0
    2    1         8    9        0.58774         46.724         46.178            2.310            2.577         0.14142E+00    0.14142E+00    0
    2    1         9   10        0.62944         43.879         43.330            3.220            3.260         0.14142E+00    0.14142E+00    0
    2    1        10   11        0.27122         42.542         42.316            4.460            3.449         0.14142E+00    0.14142E+00    0
    3    2         4    5        0.97231         44.056         43.208            1.810            1.934         0.14142E+00    0.14142E+00    0
    3    2         5    6        0.20971         42.531         42.355            1.300            1.913         0.14142E+00    0.14142E+00    0
    3    2         6    7        0.07968         49.215         49.137            1.890            2.106         0.14142E+00    0.14142E+00    0
    3    2         7    8        0.45902         44.348         43.945            1.080            1.947         0.14142E+00    0.14142E+00    0
    3    2         8    9        0.54784         49.456         48.917            1.770            2.297         0.14142E+00    0.14142E+00    0
    3    2         9   10        0.76637         46.917         46.204            3.340            3.003         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.70752         46.051         45.404            3.570            3.222         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.45566         46.543         46.121            2.500            2.850         0.14142E+00    0.14142E+00    0
    3    1         5    7        0.28936         44.154         43.900            1.540            2.060         0.14142E+00    0.14142E+00    0
    3    1         7    9        0.59490         45.265         44.731            1.330            2.173         0.14142E+00    0.14142E+00    0
    3    1         9   11        0.68011         45.298         44.686            3.480            3.185         0.14142E+00    0.14142E+00    0
    3    1        11   13        0.28664         45.030         44.773            3.220            3.230         0.14142E+00    0.14142E+00    0
    3    1        13   15        0.20875         47.321         47.519            3.480            3.572         0.14142E+00    0.14142E+00    0
    3    1        15   17        0.56854         45.034         45.549            4.050            4.145         0.14142E+00    0.14142E+00    0
    3    1        17   19        1.03024         45.965         46.922            5.030            4.703         0.14142E+00    0.14142E+00    0
    3    1        19   21        1.36975         40.286         41.452            5.870            5.063         0.14142E+00    0.14433E+00    1
    4    3         5    6        0.75958         35.039         35.573            0.220            1.710         0.14142E+00    0.14142E+00    0
    4    3         6    7        0.12182         41.768         41.669            1.360            1.858         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.57854         38.560         38.118            0.770            1.683         0.14142E+00    0.14142E+00    0
    4    3         8    9        0.58139         43.934         43.427            1.620            2.046         0.14142E+00    0.14142E+00    0
    4    3         9   10        0.77227         42.270         41.622            3.000            2.771         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.77304         42.068         41.423            3.580            3.018         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.68206         43.044         42.462            1.590            2.662         0.14142E+00    0.14142E+00    0
    4    2         6    8        0.22359         42.689         42.500            1.290            1.886         0.14142E+00    0.14142E+00    0
    4    2         8   10        0.65663         45.187         44.598            2.150            2.426         0.14142E+00    0.14142E+00    0
    4    2        10   12        0.70039         44.008         43.396            2.920            2.956         0.14142E+00    0.14142E+00    0
    4    2        12   14        0.56226         45.534         45.025            3.870            3.402         0.14142E+00    0.14142E+00    0
    4    2        14   16        0.18560         48.000         47.822            3.990            3.752         0.14142E+00    0.14142E+00    0
    4    2        16   18        0.21122         46.272         46.462            5.250            4.233         0.14142E+00    0.14142E+00    0
    4    1         7   10        0.59182         42.680         42.178            1.500            2.149         0.14142E+00    0.14142E+00    0
    4    1        10   13        0.58147         43.913         43.405            3.150            3.142         0.14142E+00    0.14142E+00    0
    4    1        13   16        0.03261         46.434         46.405            3.500            3.643         0.14142E+00    0.14142E+00    0
    4    1        16   19        0.51274         45.857         46.329            4.800            4.422         0.14142E+00    0.14142E+00    0
    4    1        19   22        0.88233         39.495         40.198            5.660            5.193         0.14142E+00    0.14142E+00    0
    4    1        22   25        1.33799         41.028         42.244            5.960            5.683         0.14142E+00    0.14771E+00    1
    4    1        25   28        0.39823         32.594         32.335            5.150            5.146         0.14142E+00    0.14142E+00    0
    4    1        28   31        1.12029         33.181         32.448            6.330            4.838         0.14142E+00    0.14142E+00    0
    5    4         6    7        0.08446         38.897         38.930            0.320            1.776         0.14142E+00    0.14142E+00    0
    5    4         7    8        0.46841         37.029         36.686            0.420            1.529         0.14142E+00    0.14142E+00    0
    5    4         8    9        0.47684         43.581         43.168            1.330            1.887         0.14142E+00    0.14142E+00    0
