    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.51587         41.792         41.364            2.780            1.905         0.14142E+00    0.14142E+00    0
    2    1         4    5        1.24958         34.534         35.408            1.200            1.687         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.21260         42.767         42.947            2.290            1.723         0.14142E+00    0.14142E+00    0
    2    1         6    7        1.41758         37.721         38.805            1.950            1.836         0.14142E+00    0.14142E+00    0
    2    1         7    8        0.52270         35.451         35.823            2.030            1.889         0.14142E+00    0.14142E+00    0
    2    1         8    9        0.38868         43.171         42.837            2.100            1.977         0.14142E+00    0.14142E+00    0
    2    1         9   10        0.94555         39.187         38.453            1.910            1.961         0.14142E+00    0.14142E+00    0
    2    1        10   11        1.51773         43.150         41.860            2.070            2.045         0.14142E+00    0.14142E+00    0
    3    2         5    6        0.79614         42.184         41.518            2.160            1.737         0.14142E+00    0.14142E+00    0
    3    2         6    7        1.87823         35.540         36.943            1.800            1.830         0.14142E+00    0.14359E+00    1
    3    2         7    8        1.29455         32.916         33.779            2.130            1.893         0.14142E+00    0.14142E+00    0
    3    2         8    9        0.59499         40.075         40.554            2.420            1.976         0.14142E+00    0.14142E+00    0
    3    2         9   10        0.29405         36.091         36.303            1.950            1.945         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.55924         40.295         39.847            2.340            2.019         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.59918         41.919         41.420            2.430            2.061         0.14142E+00    0.14142E+00    0
    3    1         5    7        0.18701         40.326         40.476            2.040            1.763         0.14142E+00    0.14142E+00    0
    3    1         7    9        0.69121         36.254         36.759            2.130            1.923         0.14142E+00    0.14142E+00    0
    3    1         9   11        0.54449         38.908         38.486            2.010            1.983         0.14142E+00    0.14142E+00    0
    3    1        11   13        1.22708         42.086         41.065            1.890            2.157         0.14142E+00    0.14142E+00    0
    3    1        13   15        1.59042         44.291         42.869            1.970            2.154         0.14142E+00    0.14321E+00    1
    3    1        15   17        0.95104         40.944         40.173            1.470            2.299         0.14142E+00    0.14142E+00    0
    3    1        17   19        0.45795         43.692         43.294            2.290            2.451         0.14142E+00    0.14142E+00    0
    3    1        19   21        0.13881         42.706         42.825            2.700            2.422         0.14142E+00    0.14142E+00    0
    4    3         5    6        4.71991         52.904         43.560            1.970            1.700         0.14142E+00    0.20292E+00    1
    4    3         6    7        0.49610         37.275         37.646            1.530            1.796         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.62772         33.863         34.291            2.030            1.896         0.14142E+00    0.14142E+00    0
    4    3         8    9        0.38934         40.370         40.685            2.070            1.987         0.14142E+00    0.14142E+00    0
    4    3         9   10        0.66101         36.235         36.717            2.000            1.947         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.30757         40.475         40.227            2.080            2.014         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.35723         42.493         42.190            2.070            2.048         0.14142E+00    0.14142E+00    0
    4    3        12   13        0.64012         39.798         39.292            2.500            2.232         0.14142E+00    0.14142E+00    0
    4    2         6    8        0.93838         35.713         36.390            1.710            1.832         0.14142E+00    0.14142E+00    0
    4    2         8   10        0.47228         38.551         38.917            2.150            1.968         0.14142E+00    0.14142E+00    0
    4    2        10   12        0.46429         41.165         40.785            2.150            2.032         0.14142E+00    0.14142E+00    0
    4    2        12   14        0.97528         40.874         40.084            2.010            2.197         0.14142E+00    0.14142E+00    0
    4    2        14   16        0.76393         41.831         41.197            1.440            2.142         0.14142E+00    0.14142E+00    0
    4    2        16   18        0.14497         43.381         43.257            1.910            2.360         0.14142E+00    0.14142E+00    0
    4    2        18   20        0.30346         42.661         42.921            2.060            2.334         0.14142E+00    0.14142E+00    0
    4    2        20   22        0.94307         39.108         39.853            2.210            2.596         0.14142E+00    0.14142E+00    0
    4    1         7   10        0.55563         36.137         36.541            1.970            1.929         0.14142E+00    0.14142E+00    0
    4    1        10   13        0.84919         41.479         40.780            2.000            2.088         0.14142E+00    0.14142E+00    0
    4    1        13   16        1.23993         42.718         41.672            1.740            2.161         0.14142E+00    0.14142E+00    0
    4    1        16   19        0.44697         43.684         43.296            1.800            2.380         0.14142E+00    0.14142E+00    0
    4    1        19   22        0.34812         41.018         41.304            2.940            2.514         0.14142E+00    0.14142E+00    0
    4    1        25   28        0.55040         38.266         38.689            2.920            2.690         0.14142E+00    0.14142E+00    0
    5    4         6    7        2.28802         31.989         33.870            1.140            1.635         0.14142E+00    0.15803E+00    1
    5    4         7    8        1.83868         28.710         29.930            1.910            1.791         0.14142E+00    0.15045E+00    1
    5    4         8    9        0.92298         34.225         34.862            2.250            1.899         0.14142E+00    0.14142E+00    0
    5    4         9   10        1.57214         30.159         31.123            2.060            1.848         0.14142E+00    0.14142E+00    0
    5    4        10   11        0.22469         34.088         34.241            2.220            1.905         0.14142E+00    0.14142E+00    0
    5    4        11   12        0.03621         35.850         35.824            1.950            1.926         0.14142E+00    0.14142E+00    0
    5    4        12   13        0.71326         34.071         33.589            1.590            2.099         0.14142E+00    0.14142E+00    0
    5    4        13   14        1.24025         36.696         35.797            1.770            1.986         0.14142E+00    0.14142E+00    0
    5    3         7    9        1.44545         31.471         32.394            1.970            1.850         0.14142E+00    0.14142E+00    0
    5    3         9   11        0.80052         33.503         34.044            1.980            1.906         0.14142E+00    0.14142E+00    0
    5    3        11   13        0.41342         37.394         37.087            2.210            2.043         0.14142E+00    0.14142E+00    0
    5    3        13   15        1.23307         40.031         39.056            2.150            2.017         0.14142E+00    0.14142E+00    0
    5    3        15   17        0.66265         37.491         36.998            2.160            2.138         0.14142E+00    0.14142E+00    0
    5    3        17   19        0.28149         40.615         40.387            2.170            2.283         0.14142E+00    0.14142E+00    0
    5    3        19   21        0.28264         39.982         40.207            1.710            2.252         0.14142E+00    0.14142E+00    0
    5    3        21   23        0.64733         36.554         37.030            2.640            2.296         0.14142E+00    0.14142E+00    0
    5    2         8   11        0.69209         35.453         35.947            2.010            1.928         0.14142E+00    0.14142E+00    0
    5    2        11   14        0.67468         38.542         38.025            2.100            2.068         0.14142E+00    0.14142E+00    0
    5    2        14   17        0.87674         39.714         39.024            2.130            2.107         0.14142E+00    0.14142E+00    0
    5    2        17   20        0.16594         41.128         40.991            2.210            2.302         0.14142E+00    0.14142E+00    0
    5    2        20   23        0.50549         38.286         38.675            2.490            2.339         0.14142E+00    0.14142E+00    0
    5    2        23   26        0.84130         36.771         37.395            2.550            2.278         0.14142E+00    0.14142E+00    0
    5    1         9   13        0.06614         36.138         36.185            1.830            1.976         0.14142E+00    0.14142E+00    0
    5    1        13   17        1.17937         40.506         39.562            1.910            2.121         0.14142E+00    0.14142E+00    0
