    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        2.48062         16.050         14.178            1.240            1.452         0.22361E+00    0.22361E+00    0
    2    1         4    5        0.83244         14.315         14.924            1.270            1.400         0.22361E+00    0.22361E+00    0
    2    1         5    6        0.80441         13.828         14.396            0.610            1.050         0.22361E+00    0.22361E+00    0
    2    1         6    7        0.92260         14.435         15.116            1.480            1.676         0.22361E+00    0.22361E+00    0
    2    1         7    8        1.26003         13.085         13.936            1.780            1.767         0.22361E+00    0.22361E+00    0
    2    1         8    9        0.66514         13.065         13.507            1.060            1.588         0.22361E+00    0.22361E+00    0
    2    1         9   10        0.04823         14.926         14.960            3.010            2.203         0.22361E+00    0.22361E+00    0
    2    1        10   11        0.10260         14.606         14.680            2.710            1.944         0.22361E+00    0.22361E+00    0
    3    2         4    5        3.26084         22.522         19.134            0.920            1.304         0.22361E+00    0.22361E+00    0
    3    2         5    6        1.18174         16.736         17.755            0.380            0.832         0.22361E+00    0.22361E+00    0
    3    2         6    7        0.95805         17.103         17.942            0.890            1.533         0.22361E+00    0.22361E+00    0
    3    2         7    8        0.96926         15.432         16.198            1.690            1.718         0.22361E+00    0.22361E+00    0
    3    2         8    9        0.09506         15.551         15.625            1.720            1.607         0.22361E+00    0.22361E+00    0
    3    2         9   10        0.61352         17.782         17.245            1.640            2.300         0.22361E+00    0.22361E+00    0
    3    2        10   11        0.70020         17.520         16.917            1.520            2.085         0.22361E+00    0.22361E+00    0
    3    2        11   12        0.87329         18.086         17.315            4.750            1.668         0.22361E+00    0.22361E+00    0
    3    1         5    7        1.05047         15.898         16.755            0.540            1.077         0.22361E+00    0.22361E+00    0
    3    1         7    9        0.78528         14.529         15.111            1.360            1.687         0.22361E+00    0.22361E+00    0
    3    1         9   11        0.39225         16.454         16.134            2.270            2.169         0.22361E+00    0.22361E+00    0
    3    1        11   13        0.44058         16.633         16.271            2.560            1.698         0.22361E+00    0.22361E+00    0
    3    1        13   15        0.00750         16.906         16.913            1.560            1.619         0.22361E+00    0.22361E+00    0
    3    1        15   17        0.67188         17.337         17.928            4.460            2.179         0.22361E+00    0.22361E+00    0
    3    1        17   19        0.48372         22.049         22.588            1.050            2.291         0.22361E+00    0.22361E+00    0
    3    1        19   21        0.58781         19.289         19.864            1.440            1.526         0.22361E+00    0.22361E+00    0
    4    3         5    6        0.58139         19.732         19.167            0.010            0.168         0.22361E+00    0.22361E+00    0
    4    3         6    7        2.02170         16.329         18.066            1.190            0.673         0.22361E+00    0.22361E+00    0
    4    3         7    8        1.78974         14.302         15.641            1.020            0.837         0.22361E+00    0.22361E+00    0
