    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        3.13168         73.609         62.940            0.900            2.142         0.22361E+00    0.22361E+00    0
    2    1         4    5        0.19469         41.661         42.068            1.720            2.239         0.22361E+00    0.22361E+00    0
    2    1         5    6        0.73573         32.116         33.319            4.430            3.163         0.22361E+00    0.22361E+00    0
    2    1         6    7        0.62735         33.057         34.111            1.740            1.766         0.22361E+00    0.22361E+00    0
    2    1         7    8        0.01607         39.566         39.595            3.170            2.820         0.22361E+00    0.22361E+00    0
    2    1         8    9        0.53913         32.434         33.320            1.890            1.847         0.22361E+00    0.22361E+00    0
    2    1         9   10        0.87182         39.919         41.697            3.220            2.245         0.22361E+00    0.22361E+00    0
    2    1        10   11        0.26538         41.950         42.510            2.340            2.730         0.22361E+00    0.22361E+00    0
    3    2         4    5        1.66415         46.777         43.043            1.970            1.904         0.22361E+00    0.22361E+00    0
    3    2         5    6        0.98843         32.348         30.790            4.920            2.920         0.22361E+00    0.22361E+00    0
    3    2         6    7        0.13890         29.474         29.270            1.300            1.424         0.22361E+00    0.22361E+00    0
    3    2         7    8        0.17821         32.753         32.463            3.000            2.409         0.22361E+00    0.22361E+00    0
    3    2         8    9        0.52816         26.404         27.111            1.720            1.393         0.22361E+00    0.22361E+00    0
    3    2         9   10        1.03415         32.235         33.946            2.760            1.750         0.22361E+00    0.22361E+00    0
    3    2        10   11        0.59720         33.680         34.701            2.700            2.196         0.22361E+00    0.22361E+00    0
    3    2        11   12        0.65977         35.770         36.970            1.590            2.042         0.22361E+00    0.22361E+00    0
    3    1         5    7        0.29983         31.791         31.320            3.840            2.565         0.22361E+00    0.22361E+00    0
    3    1         7    9        0.12432         32.500         32.702            2.640            2.202         0.22361E+00    0.22361E+00    0
    3    1         9   11        0.72412         36.058         37.387            3.010            2.164         0.22361E+00    0.22361E+00    0
    3    1        11   13        0.39413         38.255         39.017            2.850            2.841         0.22361E+00    0.22361E+00    0
