    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    5    4         7    8        1.19737         92.597         90.258            2.920            3.087         0.14142E+00    0.14615E+00    1
    5    4         8    9        1.24976        101.031         98.334            2.980            3.136         0.14142E+00    0.14713E+00    1
    5    4         9   10        1.10226        106.231        103.915            2.960            3.005         0.14142E+00    0.14142E+00    0
    5    4        10   11        0.81925         91.939         90.444            3.130            3.052         0.14142E+00    0.14142E+00    0
    5    4        11   12        0.24584         95.157         94.690            3.070            3.091         0.14142E+00    0.14142E+00    0
    5    4        12   13        0.00994         89.391         89.387            2.820            3.011         0.14142E+00    0.14142E+00    0
    5    4        13   14        0.13035         79.951         79.744            3.760            3.477         0.14142E+00    0.14142E+00    0
    6    2        25   29        0.88344         54.655         53.698            5.030            4.535         0.14142E+00    0.14142E+00    0
    6    2        29   33        0.72466         53.943         53.167            4.540            5.041         0.14142E+00    0.14142E+00    0
    6    2        33   37        1.16970         53.655         52.424            8.070            5.239         0.14142E+00    0.14142E+00    0
    6    2        27   31        0.84654         52.915         52.029            5.960            4.943         0.14142E+00    0.14142E+00    0
    6    2        31   35        0.95561         53.401         52.390            4.650            5.063         0.14142E+00    0.14142E+00    0
    6    2        35   39        0.96241         51.735         50.749            5.070            5.293         0.14142E+00    0.14142E+00    0
    6    2        39   43        1.37799         50.614         49.020            4.530            5.341         0.14142E+00    0.15239E+00    1
    6    4        13   15        0.10898         85.893         85.706            3.330            3.518         0.14142E+00    0.14142E+00    0
    6    4        15   17        0.76879         68.100         67.061            2.920            3.407         0.14142E+00    0.14142E+00    0
    6    4        17   19        0.39772         71.430         70.864            3.480            3.857         0.14142E+00    0.14142E+00    0
    6    4        19   21        1.31154         59.146         57.409            3.660            3.808         0.14142E+00    0.15072E+00    1
    6    4        21   23        0.08615         61.276         61.204            5.210            3.952         0.14142E+00    0.14142E+00    0
    6    4        23   25        0.71618         55.287         54.501            4.350            4.140         0.14142E+00    0.14142E+00    0
    6    4        25   27        0.80674         56.957         56.045            4.040            4.369         0.14142E+00    0.14142E+00    0
    6    4        27   29        0.61636         51.224         50.600            6.290            4.912         0.14142E+00    0.14142E+00    0
    6    5         7    8        1.12065         73.230         74.889            2.520            3.254         0.14142E+00    0.14142E+00    0
    6    5         8    9        0.67784         91.971         90.733            2.900            3.298         0.14142E+00    0.14142E+00    0
    6    5         9   10        1.20681        104.175        101.680            3.000            3.171         0.14142E+00    0.14175E+00    1
    6    5        10   11        1.11743         93.892         91.817            3.180            3.214         0.14142E+00    0.14142E+00    0
    6    5        11   12        0.41117         99.902         99.084            3.190            3.246         0.14142E+00    0.14142E+00    0
    6    5        12   13        0.06998         94.624         94.493            2.920            3.155         0.14142E+00    0.14142E+00    0
    6    5        13   14        0.13640         84.573         84.344            3.290            3.615         0.14142E+00    0.14142E+00    0
    6    5        14   15        0.03181         93.561         93.620            3.600            3.529         0.14142E+00    0.14142E+00    0
    7    3        26   30        0.68544         55.449         54.695            5.340            4.735         0.14142E+00    0.14142E+00    0
    7    3        30   34        0.61543         55.088         54.414            4.950            5.120         0.14142E+00    0.14142E+00    0
    7    3        34   38        0.97759         53.155         52.125            5.150            5.350         0.14142E+00    0.14142E+00    0
    7    3        38   42        1.24829         53.680         52.267            4.370            5.418         0.14142E+00    0.14622E+00    1
    7    3        28   32        0.49969         54.841         54.298            5.790            5.013         0.14142E+00    0.14142E+00    0
    7    3        32   36        0.91166         54.898         53.906            5.120            5.263         0.14142E+00    0.14142E+00    0
    7    3        36   40        1.17918         53.420         52.161            6.480            5.359         0.14142E+00    0.14236E+00    1
    7    3        40   44        1.31477         51.803         50.298            6.750            5.459         0.14142E+00    0.14985E+00    1
    7    5        14   16        0.06666         93.166         93.286            2.920            3.254         0.14142E+00    0.14142E+00    0
    7    5        16   18        0.33911         75.834         75.321            3.450            3.729         0.14142E+00    0.14142E+00    0
    7    5        18   20        0.36009         73.608         73.080            3.330            3.701         0.14142E+00    0.14142E+00    0
    7    5        20   22        0.13268         65.401         65.229            3.560            3.865         0.14142E+00    0.14142E+00    0
    7    5        22   24        0.01059         61.547         61.558            3.880            3.986         0.14142E+00    0.14142E+00    0
    7    5        24   26        0.55594         61.803         61.120            4.570            4.262         0.14142E+00    0.14142E+00    0
    7    5        26   28        0.57275         57.059         56.415            6.120            4.592         0.14142E+00    0.14142E+00    0
    7    5        28   30        0.36953         56.749         56.331            4.790            5.018         0.14142E+00    0.14142E+00    0
    7    6         8    9        0.61379         87.317         88.394            2.580            3.175         0.14142E+00    0.14142E+00    0
    7    6         9   10        0.63491        107.761        106.402            3.030            3.036         0.14142E+00    0.14142E+00    0
    7    6        10   11        1.07212        103.901        101.697            3.390            3.064         0.14142E+00    0.14142E+00    0
    7    6        11   12        0.52863        115.474        114.259            3.290            3.079         0.14142E+00    0.14142E+00    0
    7    6        12   13        0.18753        111.428        111.011            2.920            2.969         0.14142E+00    0.14142E+00    0
    7    6        13   14        0.02619        100.042         99.990            3.450            3.415         0.14142E+00    0.14142E+00    0
    7    6        14   15        0.34653        110.441        111.209            3.480            3.317         0.14142E+00    0.14142E+00    0
    7    6        15   16        0.05326         84.704         84.691            1.890            2.945         0.14142E+00    0.14142E+00    0
    8    1        37   44        1.26622         52.010         50.633            6.350            5.300         0.14142E+00    0.14565E+00    1
    8    1        44   51        1.21233         47.891         46.733            5.260            5.259         0.14142E+00    0.14205E+00    1
    8    1        51   58        1.30555         44.567         43.253            5.100            4.201         0.14142E+00    0.15147E+00    1
    8    1        58   65        1.45795         44.353         42.803            5.430            3.961         0.14142E+00    0.15626E+00    1
    8    1        39   46        1.30992         50.990         49.557            6.930            5.395         0.14142E+00    0.14762E+00    1
    8    1        46   53        1.15432         47.245         46.169            3.270            5.051         0.14142E+00    0.14142E+00    0
    8    1        53   60        1.54102         45.580         43.784            1.010            3.609         0.14142E+00    0.16169E+00    1
    8    1        60   67        1.70864         42.397         40.562           -9.130            3.223         0.14142E+00    0.16407E+00    1
    8    1        41   48        1.24300         49.563         48.286            4.940            5.330         0.14142E+00    0.14491E+00    1
    8    1        48   55        1.20542         46.165         45.039            3.170            4.797         0.14142E+00    0.14324E+00    1
    8    1        62   69        1.07952         42.081         41.280           -7.440            2.348         0.14142E+00    0.14142E+00    0
    8    4        27   31        0.42833         54.535         54.071            5.540            4.929         0.14142E+00    0.14142E+00    0
    8    4        31   35        0.43159         54.699         54.231            5.850            5.127         0.14142E+00    0.14142E+00    0
    8    4        35   39        1.20338         53.844         52.544            6.640            5.418         0.14142E+00    0.14263E+00    1
    8    4        39   43        1.29118         52.286         50.822            6.920            5.507         0.14142E+00    0.14842E+00    1
    8    4        29   33        0.37712         55.516         55.099            5.500            5.068         0.14142E+00    0.14142E+00    0
    8    4        33   37        0.64660         54.967         54.263            4.210            5.335         0.14142E+00    0.14142E+00    0
    8    4        37   41        1.28108         52.307         50.872            4.170            5.428         0.14142E+00    0.14744E+00    1
    8    4        41   45        1.22877         51.176         49.857            6.740            5.504         0.14142E+00    0.14586E+00    1
    8    6        15   17        0.28437         81.632         81.170            2.690            3.130         0.14142E+00    0.14142E+00    0
    8    6        17   19        0.43536         83.823         84.556            3.360            3.578         0.14142E+00    0.14142E+00    0
    8    6        19   21        0.48467         67.512         66.861            3.410            3.537         0.14142E+00    0.14142E+00    0
    8    6        21   23        0.80078         68.474         69.579            4.090            3.703         0.14142E+00    0.14142E+00    0
    8    6        23   25        0.02213         60.378         60.368            4.320            3.908         0.14142E+00    0.14142E+00    0
    8    6        25   27        0.36531         61.308         60.862            4.530            4.168         0.14142E+00    0.14142E+00    0
    8    6        27   29        0.52404         54.955         54.384            5.400            4.750         0.14142E+00    0.14142E+00    0
    8    6        29   31        0.13165         57.561         57.412            4.510            5.016         0.14142E+00    0.14142E+00    0
    8    7         9   10        0.53734         85.796         86.723            2.730            3.035         0.14142E+00    0.14142E+00    0
    8    7        10   11        0.59077         91.210         90.140            3.390            3.041         0.14142E+00    0.14142E+00    0
    8    7        11   12        0.57046        107.601        106.381            3.310            3.032         0.14142E+00    0.14142E+00    0
    8    7        12   13        0.49442        107.778        106.717            3.000            2.895         0.14142E+00    0.14142E+00    0
    8    7        13   14        0.29639         99.021         98.436            3.510            3.320         0.14142E+00    0.14142E+00    0
    8    7        14   15        0.12358        109.373        109.642            3.460            3.203         0.14142E+00    0.14142E+00    0
    8    7        15   16        0.17892         84.025         83.734            1.910            2.801         0.14142E+00    0.14142E+00    0
    8    7        16   17        0.44869         77.720         77.026            3.600            3.445         0.14142E+00    0.14142E+00    0
    9    2        38   45        1.33612         52.144         50.605            6.270            5.424         0.14142E+00    0.14976E+00    1
    9    2        52   59        1.26068         44.630         43.361            3.760            4.077         0.14142E+00    0.15127E+00    1
    9    2        40   47        1.35492         50.057         48.528            5.100            5.458         0.14142E+00    0.15128E+00    1
    9    2        42   49        1.24545         48.097         46.841            7.050            5.436         0.14142E+00    0.14590E+00    1
    9    2        49   56        1.30230         46.355         45.026            7.260            4.753         0.14142E+00    0.14979E+00    1
    9    2        56   63        1.42340         41.758         40.294            4.950            3.384         0.14142E+00    0.15842E+00    1
    9    2        63   70        1.35229         42.674         41.414           -1.480            1.426         0.14142E+00    0.14924E+00    1
    9    5        28   32        0.37589         55.633         55.217            4.500            4.919         0.14142E+00    0.14142E+00    0
    9    5        32   36        0.83659         55.484         54.563            5.310            5.253         0.14142E+00    0.14142E+00    0
    9    5        36   40        1.04916         53.912         52.792            5.130            5.414         0.14142E+00    0.14142E+00    0
    9    5        40   44        1.24741         52.330         50.936            5.070            5.559         0.14142E+00    0.14710E+00    1
    9    5        30   34        0.48530         55.660         55.127            6.230            5.073         0.14142E+00    0.14142E+00    0
    9    5        34   38        1.02037         53.832         52.745            5.880            5.376         0.14142E+00    0.14142E+00    0
    9    5        38   42        1.22984         54.300         52.912            6.120            5.497         0.14142E+00    0.14515E+00    1
    9    5        42   46        1.25007         49.200         47.902            8.430            5.645         0.14142E+00    0.14673E+00    1
    9    7        16   18        0.06671         83.730         83.618            3.450            3.437         0.14142E+00    0.14142E+00    0
    9    7        18   20        0.30601         79.510         79.997            3.040            3.376         0.14142E+00    0.14142E+00    0
    9    7        20   22        0.69530         68.855         69.819            4.020            3.531         0.14142E+00    0.14142E+00    0
    9    7        22   24        0.71993         63.198         64.114            3.600            3.642         0.14142E+00    0.14142E+00    0
    9    7        24   26        0.01639         61.951         61.932            4.040            3.921         0.14142E+00    0.14142E+00    0
    9    7        26   28        0.43059         56.444         55.960            4.290            4.268         0.14142E+00    0.14142E+00    0
    9    7        28   30        0.47182         55.850         55.328            5.550            4.737         0.14142E+00    0.14142E+00    0
    9    7        30   32        0.36112         54.303         53.913            5.340            4.902         0.14142E+00    0.14142E+00    0
    9    8        10   11        0.90615         76.334         77.730            3.330            3.089         0.14142E+00    0.14142E+00    0
    9    8        11   12        0.41562        101.746        100.904            3.240            3.073         0.14142E+00    0.14142E+00    0
    9    8        12   13        1.03190        108.814        106.591            3.000            2.917         0.14142E+00    0.14142E+00    0
    9    8        13   14        0.85476        103.327        101.576            3.580            3.326         0.14142E+00    0.14142E+00    0
    9    8        14   15        0.15067        116.613        116.263            3.480            3.195         0.14142E+00    0.14142E+00    0
    9    8        15   16        0.53226         90.848         89.887            2.290            2.765         0.14142E+00    0.14142E+00    0
    9    8        16   17        0.53073         84.459         83.568            3.460            3.390         0.14142E+00    0.14142E+00    0
    9    8        17   18        0.65987         89.742         90.935            3.340            3.446         0.14142E+00    0.14142E+00    0
   10    3        39   46        1.37581         51.861         50.224            6.930            5.504         0.14142E+00    0.15277E+00    1
   10    3        46   53        1.28182         48.075         46.757            5.830            5.226         0.14142E+00    0.14727E+00    1
   10    3        53   60        1.53696         46.079         44.243            2.500            3.832         0.14142E+00    0.16268E+00    1
   10    3        41   48        1.28211         50.340         48.928            6.440            5.460         0.14142E+00    0.14902E+00    1
   10    3        48   55        1.26005         46.858         45.597            6.870            4.989         0.14142E+00    0.14736E+00    1
   10    3        55   62        1.36736         44.576         43.115            6.810            3.238         0.14142E+00    0.15659E+00    1
   10    3        43   50        1.25262         49.465         48.152            7.120            5.460         0.14142E+00    0.14672E+00    1
   10    3        50   57        1.30871         45.428         44.081            5.340            4.652         0.14142E+00    0.15169E+00    1
   10    3        57   64        1.24885         44.600         43.354            4.770            4.133         0.14142E+00    0.15064E+00    1
   10    6        29   33        0.43066         58.276         57.778            5.540            4.853         0.14142E+00    0.14142E+00    0
   10    6        33   37        0.83301         57.414         56.465            5.420            5.210         0.14142E+00    0.14142E+00    0
   10    6        37   41        1.30001         54.402         52.848            4.920            5.368         0.14142E+00    0.14932E+00    1
   10    6        41   45        1.31281         53.349         51.785            6.040            5.494         0.14142E+00    0.15059E+00    1
   10    6        31   35        0.59111         57.240         56.568            5.320            4.961         0.14142E+00    0.14142E+00    0
   10    6        35   39        1.18328         55.983         54.644            5.000            5.331         0.14142E+00    0.14303E+00    1
   10    6        39   43        1.34012         54.435         52.783            5.340            5.474         0.14142E+00    0.15168E+00    1
   10    8        17   19        0.49151         98.992         99.969            3.120            3.266         0.14142E+00    0.14142E+00    0
   10    8        19   21        0.09832         77.965         78.116            2.860            3.183         0.14142E+00    0.14142E+00    0
   10    8        21   23        1.39131         76.775         79.372            3.330            3.330         0.14142E+00    0.15463E+00    1
   10    8        23   25        0.73005         65.543         66.507            3.600            3.510         0.14142E+00    0.14142E+00    0
   10    8        25   27        0.05292         65.226         65.158            3.580            3.772         0.14142E+00    0.14142E+00    0
   10    8        27   29        0.27822         57.365         57.049            3.780            4.382         0.14142E+00    0.14142E+00    0
   10    8        29   31        0.09328         59.683         59.591            3.630            4.694         0.14142E+00    0.14142E+00    0
   10    8        31   33        0.54922         57.985         57.352            4.380            4.768         0.14142E+00    0.14142E+00    0
   10    9        11   12        0.86949         98.824         97.120            2.900            2.930         0.14142E+00    0.14142E+00    0
   10    9        12   13        0.81977        110.553        108.756            2.980            2.757         0.14142E+00    0.14142E+00    0
   10    9        13   14        0.95802        110.624        108.526            3.620            3.148         0.14142E+00    0.14142E+00    0
   10    9        14   15        0.54669        129.874        128.464            3.510            3.006         0.14142E+00    0.14142E+00    0
   10    9        15   16        0.92665        103.361        101.463            2.160            2.544         0.14142E+00    0.14142E+00    0
   10    9        16   17        0.92764         97.947         96.147            3.710            3.147         0.14142E+00    0.14142E+00    0
   10    9        17   18        0.24182        105.077        105.586            3.070            3.189         0.14142E+00    0.14142E+00    0
   10    9        18   19        0.57859        105.619        106.849            3.090            3.129         0.14142E+00    0.14142E+00    0
   11    4        40   47        1.32980         51.079         49.545            6.760            5.495         0.14142E+00    0.15151E+00    1
   11    4        47   54        1.16627         47.586         46.465            6.010            5.179         0.14142E+00    0.14301E+00    1
   11    4        54   61        1.33162         44.862         43.437            2.750            3.529         0.14142E+00    0.15575E+00    1
   11    4        42   49        1.28145         49.184         47.812            7.020            5.495         0.14142E+00    0.14874E+00    1
   11    4        49   56        1.26340         47.248         45.939            5.820            4.874         0.14142E+00    0.14922E+00    1
   11    4        56   63        1.42271         42.531         41.037            4.620            3.538         0.14142E+00    0.15858E+00    1
   11    4        63   70        1.27756         43.236         42.072            3.340            1.597         0.14142E+00    0.14631E+00    1
   11    4        44   51        1.28731         48.704         47.348            6.310            5.446         0.14142E+00    0.14816E+00    1
   11    4        51   58        1.40138         45.278         43.745            2.820            4.471         0.14142E+00    0.15683E+00    1
   11    4        58   65        1.41170         44.637         43.147            6.350            4.255         0.14142E+00    0.15524E+00    1
   11    7        30   34        0.52006         56.669         56.083            5.150            4.777         0.14142E+00    0.14142E+00    0
   11    7        34   38        1.13868         54.524         53.296            4.590            5.168         0.14142E+00    0.14142E+00    0
   11    7        38   42        1.39654         55.102         53.313            6.920            5.353         0.14142E+00    0.15385E+00    1
   11    7        42   46        1.35481         49.767         48.205            4.750            5.550         0.14142E+00    0.15348E+00    1
   11    7        32   36        0.88964         56.276         55.285            5.730            5.003         0.14142E+00    0.14142E+00    0
   11    7        36   40        1.24560         54.705         53.253            4.920            5.240         0.14142E+00    0.14693E+00    1
   11    7        40   44        1.38591         52.998         51.270            5.880            5.441         0.14142E+00    0.15468E+00    1
   11    7        44   48        1.34623         48.792         47.296            6.240            5.524         0.14142E+00    0.15213E+00    1
   11    9        18   20        0.16221         93.839         94.143            2.860            3.060         0.14142E+00    0.14142E+00    0
   11    9        20   22        1.09131         79.974         81.738            3.060            3.173         0.14142E+00    0.14142E+00    0
   11    9        22   24        1.29198         71.398         73.527            3.180            3.238         0.14142E+00    0.15083E+00    1
   11    9        24   26        0.63722         68.022         68.894            3.680            3.480         0.14142E+00    0.14142E+00    0
   11    9        26   28        0.06325         60.764         60.688            3.660            3.816         0.14142E+00    0.14142E+00    0
   11    9        28   30        0.28665         59.402         59.065            3.540            4.318         0.14142E+00    0.14142E+00    0
   11    9        30   32        0.23477         57.179         56.914            5.130            4.532         0.14142E+00    0.14142E+00    0
   11    9        32   34        0.72572         58.707         57.861            4.650            4.756         0.14142E+00    0.14142E+00    0
   11   10        12   13        0.00674         85.408         85.409            2.710            2.845         0.14142E+00    0.14142E+00    0
   11   10        13   14        0.45382         92.172         91.341            3.740            3.229         0.14142E+00    0.14142E+00    0
   11   10        14   15        0.42693        113.032        112.072            3.180            3.087         0.14142E+00    0.14142E+00    0
   11   10        15   16        1.26381         94.105         91.617            2.420            2.594         0.14142E+00    0.14561E+00    1
   11   10        16   17        1.21043         92.020         89.706            3.450            3.176         0.14142E+00    0.14506E+00    1
   11   10        17   18        0.16290        101.178        100.849            3.190            3.205         0.14142E+00    0.14142E+00    0
   11   10        18   19        0.24650        101.535        102.036            3.150            3.128         0.14142E+00    0.14142E+00    0
   11   10        19   20        0.23309         81.725         81.345            2.960            2.954         0.14142E+00    0.14142E+00    0
   12    5        41   48        1.28649         51.307         49.842            6.070            5.497         0.14142E+00    0.15009E+00    1
   12    5        43   50        1.25768         50.400         49.038            7.560            5.520         0.14142E+00    0.14783E+00    1
   12    5        50   57        1.33615         46.292         44.863            3.840            4.775         0.14142E+00    0.15321E+00    1
   12    5        57   64        1.37279         45.519         44.041            5.380            4.279         0.14142E+00    0.15509E+00    1
   12    5        45   52        1.32446         48.657         47.226            7.100            5.420         0.14142E+00    0.15026E+00    1
   12    8        31   35        0.60143         58.040         57.346            5.120            4.737         0.14142E+00    0.14142E+00    0
   12    8        35   39        1.22936         56.443         54.983            5.030            5.195         0.14142E+00    0.14603E+00    1
   12    8        39   43        1.38877         54.752         52.951            6.420            5.401         0.14142E+00    0.15522E+00    1
   12    8        43   47        1.38628         50.925         49.254            4.590            5.553         0.14142E+00    0.15513E+00    1
   12    8        33   37        0.87603         57.975         56.970            6.030            5.031         0.14142E+00    0.14142E+00    0
   12    8        37   41        1.36892         54.811         53.072            5.080            5.264         0.14142E+00    0.15344E+00    1
   12    8        41   45        1.35332         53.597         51.901            4.830            5.447         0.14142E+00    0.15416E+00    1
   12    8        45   49        1.30821         49.304         47.853            4.680            5.487         0.14142E+00    0.15113E+00    1
   12   10        19   21        0.15599         87.480         87.208            2.960            3.056         0.14142E+00    0.14142E+00    0
   12   10        21   23        1.52986         85.012         88.497            3.410            3.152         0.14142E+00    0.16206E+00    1
   12   10        23   25        1.28274         70.337         72.428            3.450            3.261         0.14142E+00    0.15111E+00    1
   12   10        29   31        0.14560         60.490         60.665            4.770            4.422         0.14142E+00    0.14142E+00    0
   12   10        31   33        0.30941         58.074         57.720            3.620            4.544         0.14142E+00    0.14142E+00    0
   12   10        33   35        0.66401         57.829         57.083            7.460            4.787         0.14142E+00    0.14142E+00    0
   12   11        13   14        0.33069         83.902         84.456            3.920            3.315         0.14142E+00    0.14142E+00    0
   12   11        14   15        0.16367        110.596        110.238            3.630            3.201         0.14142E+00    0.14142E+00    0
   12   11        15   16        1.29442         97.060         94.337            2.660            2.676         0.14142E+00    0.14828E+00    1
   12   11        16   17        1.33985        100.274         97.179            3.570            3.240         0.14142E+00    0.15297E+00    1
   12   11        17   18        0.65701        113.946        112.459            3.290            3.259         0.14142E+00    0.14142E+00    0
   12   11        18   19        0.26200        116.725        116.115            3.070            3.166         0.14142E+00    0.14142E+00    0
   12   11        19   20        0.65756         94.892         93.653            2.900            2.979         0.14142E+00    0.14142E+00    0
   12   11        20   21        0.33282         89.885         90.486            3.300            3.194         0.14142E+00    0.14142E+00    0
   13    6        42   49        1.31176         51.041         49.537            5.640            5.510         0.14142E+00    0.15101E+00    1
   13    6        49   56        1.39638         49.151         47.529            3.040            4.959         0.14142E+00    0.15514E+00    1
   13    6        63   70        1.46964         44.740         43.298           -7.670            1.735         0.14142E+00    0.15237E+00    1
   13    6        44   51        1.29101         50.462         49.028            5.070            5.484         0.14142E+00    0.14942E+00    1
   13    6        46   53        1.23837         49.745         48.437            7.110            5.320         0.14142E+00    0.14689E+00    1
   13    6        53   60        1.53701         47.626         45.719            4.590            4.008         0.14142E+00    0.16305E+00    1
   13    9        32   36        0.64443         59.471         58.711            5.430            4.798         0.14142E+00    0.14142E+00    0
   13    9        36   40        1.24781         57.658         56.116            5.190            5.121         0.14142E+00    0.14741E+00    1
   13    9        40   44        1.38384         55.684         53.850            3.690            5.386         0.14142E+00    0.15565E+00    1
   13    9        44   48        1.32533         51.139         49.583            3.210            5.521         0.14142E+00    0.15289E+00    1
   13    9        34   38        1.02271         57.488         56.325            4.720            5.010         0.14142E+00    0.14142E+00    0
   13    9        46   50        1.26036         52.119         50.676            4.920            5.393         0.14142E+00    0.14926E+00    1
   13   11        20   22        0.76731         95.694         97.173            3.340            3.116         0.14142E+00    0.14142E+00    0
   13   11        22   24        1.41489         84.153         87.150            3.040            3.113         0.14142E+00    0.15727E+00    1
   13   11        24   26        1.20523         77.555         79.607            3.530            3.282         0.14142E+00    0.14720E+00    1
   13   11        26   28        0.55230         67.665         68.416            3.250            3.568         0.14142E+00    0.14142E+00    0
   13   11        28   30        0.16261         65.016         65.225            3.570            4.079         0.14142E+00    0.14142E+00    0
   13   11        30   32        0.09591         61.870         61.968            5.430            4.332         0.14142E+00    0.14142E+00    0
   13   11        32   34        0.33833         62.754         62.333            5.310            4.607         0.14142E+00    0.14142E+00    0
