    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.37632         90.865         90.208            5.010            3.056         0.14142E+00    0.14142E+00    0
    2    1         4    5        1.37578        110.041        106.589            2.580            2.885         0.14142E+00    0.15220E+00    1
    2    1         5    6        1.37066        120.880        117.199            3.010            3.153         0.14142E+00    0.15021E+00    1
    2    1         6    7        0.81272        132.637        130.499            3.070            3.102         0.14142E+00    0.14142E+00    0
    2    1         7    8        0.63342        111.633        113.056            2.980            3.052         0.14142E+00    0.14142E+00    0
    2    1         8    9        1.29768        105.183        108.304            2.940            3.131         0.14142E+00    0.15011E+00    1
    2    1         9   10        1.49384        103.034        107.044            2.760            3.005         0.14142E+00    0.15988E+00    1
    2    1        10   11        1.45541         86.230         89.460            2.810            3.062         0.14142E+00    0.15895E+00    1
    3    1        10   12        1.13982         85.631         87.608            3.060            3.072         0.14142E+00    0.14153E+00    1
    3    1        12   14        1.04836         78.477         80.140            3.250            3.244         0.14142E+00    0.14142E+00    0
    3    1        14   16        0.57291         75.083         75.948            3.250            3.290         0.14142E+00    0.14142E+00    0
    3    1        16   18        0.36941         64.343         63.872            4.560            3.779         0.14142E+00    0.14142E+00    0
    3    1        18   20        0.64877         65.402         64.560            2.830            3.689         0.14142E+00    0.14142E+00    0
    3    1        20   22        0.29674         60.158         59.802            3.570            3.782         0.14142E+00    0.14142E+00    0
    3    1        22   24        0.08166         58.423         58.363            5.120            3.851         0.14142E+00    0.14142E+00    0
    3    2         4    5        0.78576         82.256         80.975            2.150            2.889         0.14142E+00    0.14142E+00    0
    3    2         5    6        1.26822        101.035         98.144            2.920            3.140         0.14142E+00    0.15130E+00    1
    3    2         6    7        1.47306        119.216        114.888            3.090            3.088         0.14142E+00    0.15845E+00    1
    3    2         7    8        0.81025        104.783        103.099            2.960            3.030         0.14142E+00    0.14142E+00    0
    3    2         8    9        0.09126        100.907        101.087            2.760            3.106         0.14142E+00    0.14142E+00    0
    3    2         9   10        0.55247         99.576        100.682            3.150            2.982         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.49596         83.463         84.293            2.470            3.040         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.76707         85.697         87.021            2.880            3.092         0.14142E+00    0.14142E+00    0
    4    2        11   13        0.36519         86.731         87.367            3.060            3.122         0.14142E+00    0.14142E+00    0
    4    2        13   15        0.13013         78.217         78.420            3.310            3.517         0.14142E+00    0.14142E+00    0
    4    2        15   17        0.88937         63.390         62.272            3.340            3.433         0.14142E+00    0.14142E+00    0
    4    2        17   19        0.64000         67.750         66.888            3.560            3.853         0.14142E+00    0.14142E+00    0
    4    2        19   21        1.52307         57.469         55.249            4.470            3.774         0.14142E+00    0.16085E+00    1
    4    2        21   23        0.61189         60.513         59.777            3.900            3.884         0.14142E+00    0.14142E+00    0
    4    2        23   25        0.97825         55.001         53.944            6.390            4.049         0.14142E+00    0.14142E+00    0
    4    2        25   27        0.51190         56.615         56.039            4.110            4.251         0.14142E+00    0.14142E+00    0
    4    3         5    6        1.03717         84.489         82.754            3.010            3.237         0.14142E+00    0.14142E+00    0
    4    3         6    7        1.41189        109.032        105.176            3.100            3.191         0.14142E+00    0.15969E+00    1
    4    3         7    8        1.38031        103.309        100.054            3.070            3.127         0.14142E+00    0.15229E+00    1
    4    3         8    9        0.71111        103.753        102.288            2.960            3.198         0.14142E+00    0.14142E+00    0
    4    3         9   10        0.37719        104.671        103.884            2.920            3.076         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.11492         88.047         87.846            3.240            3.134         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.16562         90.893         91.194            3.040            3.184         0.14142E+00    0.14142E+00    0
    4    3        12   13        0.14777         85.475         85.724            2.580            3.117         0.14142E+00    0.14142E+00    0
    5    1        24   28        0.72607         56.875         56.058            5.430            4.288         0.14142E+00    0.14142E+00    0
    5    1        28   32        0.35560         54.255         53.871            4.790            4.848         0.14142E+00    0.14142E+00    0
    5    1        32   36        1.19641         54.822         53.526            5.320            5.036         0.14142E+00    0.14142E+00    0
    5    1        36   40        0.56163         52.308         51.732            6.920            5.087         0.14142E+00    0.14142E+00    0
    5    1        26   30        0.52440         54.683         54.118            6.040            4.607         0.14142E+00    0.14142E+00    0
    5    1        30   34        0.60567         54.702         54.045            5.690            4.921         0.14142E+00    0.14142E+00    0
    5    1        34   38        1.03386         52.812         51.732            5.750            5.098         0.14142E+00    0.14142E+00    0
    5    1        38   42        1.07292         52.937         51.815            6.270            5.129         0.14142E+00    0.14142E+00    0
    5    3        12   14        0.05216         83.769         83.684            3.030            3.246         0.14142E+00    0.14142E+00    0
    5    3        14   16        0.23525         78.033         77.668            2.920            3.306         0.14142E+00    0.14142E+00    0
    5    3        16   18        0.97654         65.218         63.957            3.290            3.805         0.14142E+00    0.14142E+00    0
    5    3        18   20        1.18814         64.953         63.369            4.140            3.754         0.14142E+00    0.14421E+00    1
    5    3        20   22        1.05216         59.048         57.825            1.670            3.886         0.14142E+00    0.14142E+00    0
    5    3        22   24        0.86911         56.712         55.735            3.690            3.981         0.14142E+00    0.14142E+00    0
    5    3        24   26        1.01596         57.611         56.452            4.110            4.227         0.14142E+00    0.14142E+00    0
    5    3        26   28        0.91823         53.582         52.610            2.900            4.527         0.14142E+00    0.14142E+00    0
    5    4         6    7        1.10493         86.927         85.021            2.750            3.191         0.14142E+00    0.14166E+00    1
