x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
58.603870,0.000000,277.013090,1.0,1.0,1.0,5.0,16.12244,18.51627,1.20743,-1.20751,0.0,-3.75567,62.025351
42.029093,0.000000,276.294593,2.0,2.0,1.0,5.0,19.28406,29.52592,1.2852,-1.28539,0.0,-2.85244,51.85629997
44.988700,0.000000,276.587517,3.0,3.0,1.0,5.0,18.88246,27.90215,1.27606,-1.27623,0.0,-2.98708,52.95920129
14.498393,0.000000,281.407253,4.0,4.0,1.0,5.0,14.78648,29.44525,1.16986,-1.17005,0.0,-3.55481,67.62934789
5.951660,0.000000,282.578017,5.0,5.0,1.0,5.0,13.83331,23.3833,1.14093,-1.14104,0.0,-3.89692,72.28927856
19.345477,0.000000,281.963433,6.0,6.0,1.0,5.0,16.32887,32.2767,1.21296,-1.21318,0.0,-3.11549,61.2412249
46.180103,0.000000,276.817160,7.0,7.0,1.0,5.0,18.65811,27.15856,1.27087,-1.27103,0.0,-3.00278,53.59599659
14.466230,0.000000,280.818960,8.0,8.0,1.0,5.0,14.78438,29.27333,1.1698,-1.16999,0.0,-3.12976,67.63895409
44.442103,0.000000,276.929347,9.0,9.0,1.0,5.0,19.04565,28.36715,1.2798,-1.27997,0.0,-3.10354,52.50542775
1.930107,0.000000,280.641207,10.0,10.0,1.0,5.0,14.35662,21.45628,1.15705,-1.15715,0.0,-4.21974,69.65427796
46.592440,0.000000,277.291827,11.0,11.0,1.0,5.0,18.60076,26.86332,1.26953,-1.26969,0.0,-3.33017,53.76124416
20.559907,0.000000,282.517000,12.0,12.0,1.0,5.0,16.87323,32.94615,1.2272,-1.22743,0.0,-3.09144,59.26547555
7.303323,0.000000,279.176357,13.0,13.0,1.0,5.0,14.13227,24.85158,1.15021,-1.15035,0.0,-4.05878,70.76004067
20.890797,0.000000,282.844240,14.0,14.0,1.0,5.0,17.1514,33.23493,1.2343,-1.23454,0.0,-3.06127,58.30427837
36.608530,0.000000,279.988160,15.0,15.0,1.0,5.0,21.05242,34.21672,1.3233,-1.32356,0.0,-2.88816,47.50047738
30.101897,0.000000,281.250687,16.0,16.0,1.0,5.0,20.31923,35.71233,1.30791,-1.30818,0.0,-3.12817,49.21446334
4.333013,0.000000,279.532210,17.0,17.0,1.0,5.0,14.21912,22.96571,1.15287,-1.15299,0.0,-3.85738,70.32784026
6.381947,0.000000,282.923880,18.0,18.0,1.0,5.0,13.79332,23.70796,1.13967,-1.13979,0.0,-3.7549,72.49886177
45.544333,0.000000,277.055473,19.0,19.0,1.0,5.0,18.80769,27.57914,1.27434,-1.2745,0.0,-3.17099,53.16974068
47.129180,0.000000,277.303970,20.0,20.0,1.0,5.0,18.49719,26.55871,1.26711,-1.26726,0.0,-3.38194,54.06226567
59.045633,0.000000,276.677753,21.0,21.0,1.0,5.0,16.09614,18.21887,1.20672,-1.20679,0.0,-3.776,62.12669621
42.550940,0.000000,276.732403,22.0,22.0,1.0,5.0,19.31819,29.40273,1.28597,-1.28615,0.0,-3.04318,51.76468396
37.019280,0.000000,280.289123,23.0,23.0,1.0,5.0,21.15399,34.14647,1.32539,-1.32565,0.0,-2.92314,47.27240582
27.550927,0.000000,278.643380,24.0,24.0,1.0,5.0,18.48422,33.70226,1.2668,-1.26705,0.0,-2.88729,54.10020006
4.305323,0.000000,278.713537,25.0,25.0,1.0,5.0,14.40184,22.91085,1.15842,-1.15853,0.0,-3.77943,69.43557212
19.836990,0.000000,281.976760,26.0,26.0,1.0,5.0,16.50323,32.50825,1.21757,-1.2178,0.0,-3.36045,60.59419883
29.676610,0.000000,281.006037,27.0,27.0,1.0,5.0,20.12704,35.60497,1.30378,-1.30406,0.0,-2.99401,49.68440466
1.385180,0.000000,281.037113,28.0,28.0,1.0,5.0,14.42524,21.11303,1.15912,-1.15922,0.0,-4.19253,69.32293674
20.093433,0.000000,282.581063,29.0,29.0,1.0,5.0,16.70905,32.74619,1.22295,-1.22318,0.0,-3.15117,59.84780703
25.955847,0.000000,281.273933,30.0,30.0,1.0,5.0,18.89613,34.89579,1.27637,-1.27664,0.0,-2.96079,52.92088909
7.279543,0.000000,278.570393,31.0,31.0,1.0,5.0,14.29487,24.58509,1.15518,-1.15531,0.0,-3.744,69.95516573
22.519507,0.000000,279.471347,32.0,32.0,1.0,5.0,17.10853,32.91912,1.23321,-1.23345,0.0,-3.16528,58.45037534
25.519733,0.000000,281.602163,33.0,33.0,1.0,5.0,18.76253,34.81169,1.27329,-1.27355,0.0,-3.02877,53.29771625
39.951183,0.000000,277.333243,34.0,34.0,1.0,5.0,19.86805,31.1199,1.29816,-1.29837,0.0,-2.97188,50.3320658
36.089910,0.000000,279.141213,35.0,35.0,1.0,5.0,20.72095,33.88963,1.31641,-1.31666,0.0,-3.00768,48.26033555
36.042617,0.000000,278.538480,36.0,36.0,1.0,5.0,20.27473,33.31955,1.30696,-1.3072,0.0,-2.87884,49.32248173
39.932120,0.000000,276.625427,37.0,37.0,1.0,5.0,19.45157,30.43858,1.28895,-1.28916,0.0,-2.95884,51.40973197
23.074547,0.000000,281.425733,38.0,38.0,1.0,5.0,17.72928,33.87437,1.24869,-1.24894,0.0,-3.10699,56.40386976
37.615427,0.000000,279.993790,39.0,39.0,1.0,5.0,21.11947,33.89996,1.32468,-1.32493,0.0,-2.87965,47.34967307
18.525850,0.000000,278.552483,40.0,40.0,1.0,5.0,15.84707,30.74155,1.19995,-1.20015,0.0,-3.20122,63.10314777
15.087733,0.000000,280.429260,41.0,41.0,1.0,5.0,14.93821,29.63133,1.1743,-1.17449,0.0,-3.09946,66.94242483
5.240900,0.000000,283.192287,42.0,42.0,1.0,5.0,13.86324,22.71329,1.14186,-1.14198,0.0,-4.20963,72.13320984
22.180197,0.000000,279.040413,43.0,43.0,1.0,5.0,16.84044,32.44241,1.22635,-1.22658,0.0,-3.19857,59.38087128
18.567873,0.000000,279.126203,44.0,44.0,1.0,5.0,15.95676,31.29933,1.20294,-1.20316,0.0,-3.4815,62.66936396
45.564560,0.000000,279.146827,45.0,45.0,1.0,5.0,19.47927,28.41357,1.28957,-1.28975,0.0,-3.11584,51.33662606
24.350033,0.000000,280.215437,46.0,46.0,1.0,5.0,17.89221,33.89455,1.25266,-1.25291,0.0,-3.03704,55.89024497
10.781280,0.000000,282.738870,47.0,47.0,1.0,5.0,13.99102,26.80107,1.14585,-1.14601,0.0,-3.56509,71.47441716
57.201680,0.000000,277.094067,48.0,48.0,1.0,5.0,16.25844,19.33019,1.21108,-1.21116,0.0,-3.66318,61.506516
