x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
3.496583,0.000000,262.511683,1.0,1.0,1.0,5.0,23.52823,2.19501,1.37159,-1.37159,0.0,-3.11587,42.50213467
63.112373,0.000000,262.575310,2.0,2.0,1.0,5.0,36.47382,0.145,1.56198,-1.56198,0.0,-2.8132,27.41692535
24.687770,0.000000,263.209100,3.0,3.0,1.0,5.0,15.97143,1.56932,1.20334,-1.20334,0.0,-1.73527,62.6118012
1.624497,0.000000,262.571560,4.0,4.0,1.0,5.0,24.99128,2.28237,1.39779,-1.39779,0.0,-3.23489,40.01395687
2.918260,0.000000,262.934430,5.0,5.0,1.0,5.0,24.1702,2.25547,1.38328,-1.38328,0.0,-3.50456,41.37326129
25.262453,0.000000,262.857780,6.0,6.0,1.0,5.0,15.89049,1.50599,1.20114,-1.20114,0.0,-1.71888,62.93072146
11.510843,0.000000,262.646110,7.0,7.0,1.0,5.0,19.15712,1.90519,1.28233,-1.28233,0.0,-2.82209,52.19991314
15.732640,0.000000,262.566943,8.0,8.0,1.0,5.0,17.46017,1.73167,1.24205,-1.24205,0.0,-2.68123,57.27321097
12.198127,0.000000,262.542477,9.0,9.0,1.0,5.0,18.94174,1.88299,1.27742,-1.27742,0.0,-2.78056,52.79346037
2.207747,0.000000,262.953903,10.0,10.0,1.0,5.0,24.59647,2.2788,1.39087,-1.39087,0.0,-3.52196,40.65624051
0.167443,0.000000,262.682120,11.0,11.0,1.0,5.0,25.95477,2.32873,1.41422,-1.41422,0.0,-3.39287,38.52856334
24.096500,0.000000,262.915427,12.0,12.0,1.0,5.0,15.91827,1.55402,1.2019,-1.2019,0.0,-1.9978,62.82089699
60.896667,0.000000,262.763560,13.0,13.0,1.0,5.0,33.94192,0.03205,1.53074,-1.53074,0.0,-2.89483,29.46209289
59.729520,0.000000,262.777937,14.0,14.0,1.0,5.0,32.71152,-0.00198,1.5147,-1.5147,-7.21873,-2.83772,30.57027005
1.467787,0.000000,263.862217,15.0,15.0,1.0,5.0,25.56627,2.3701,1.40767,-1.40767,0.0,-3.40264,39.1140358
58.560137,0.000000,262.787720,16.0,16.0,1.0,5.0,31.51455,-0.01968,1.49851,-1.49851,-6.20445,-2.77376,31.73137487
