x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
39.100000,0.000000,257.925973,1.0,1.0,1.0,5.0,26.52382,3.23699,1.42364,-1.42364,0.0,-2.71173,37.70195997
39.687413,0.000000,257.627860,2.0,2.0,1.0,5.0,26.34703,3.23525,1.42073,-1.42073,0.0,-2.87351,37.95494217
38.458683,0.000000,257.515093,3.0,3.0,1.0,5.0,26.67919,3.22927,1.42617,-1.42617,0.0,-2.59103,37.48239733
40.250747,0.000000,258.081887,4.0,4.0,1.0,5.0,26.21597,3.24132,1.41857,-1.41857,0.0,-2.97301,38.14468814
43.770813,0.000000,257.988170,5.0,5.0,1.0,5.0,25.09371,3.24211,1.39956,-1.39957,0.0,-2.97314,39.85062392
20.268333,0.000000,257.960327,6.0,6.0,1.0,5.0,29.34159,3.00932,1.46748,-1.46749,0.0,-3.21254,34.08131598
8.546270,0.000000,257.637180,7.0,7.0,1.0,5.0,28.98756,2.75802,1.46221,-1.46221,0.0,-3.88902,34.49755688
14.399623,0.000000,257.811287,8.0,8.0,1.0,5.0,29.19204,2.878,1.46526,-1.46527,0.0,-3.51374,34.2559136
44.937577,0.000000,257.956763,9.0,9.0,1.0,5.0,24.70847,3.23691,1.39285,-1.39285,0.0,-3.01116,40.47195152
36.684887,0.000000,257.957347,10.0,10.0,1.0,5.0,27.12848,3.22754,1.43343,-1.43343,0.0,-2.91223,36.86163029
46.152220,0.000000,257.883877,11.0,11.0,1.0,5.0,24.32166,3.22785,1.38599,-1.386,0.0,-2.94504,41.11561464
59.048727,0.000000,257.444127,12.0,12.0,1.0,5.0,22.0216,3.04615,1.34285,-1.34285,0.0,-3.56172,45.40996113
49.640640,0.000000,257.799073,13.0,13.0,1.0,5.0,23.47348,3.19833,1.37058,-1.37058,0.0,-3.11923,42.60126747
2.642777,0.000000,257.492027,14.0,14.0,1.0,5.0,28.60148,2.645,1.45639,-1.45639,0.0,-4.28918,34.96322568
26.177407,0.000000,257.983033,15.0,15.0,1.0,5.0,28.77154,3.1258,1.45896,-1.45897,0.0,-3.08929,34.75656847
42.596050,0.000000,258.033493,16.0,16.0,1.0,5.0,25.47864,3.24449,1.40618,-1.40618,0.0,-2.96989,39.24856272
21.447067,0.000000,257.976557,17.0,17.0,1.0,5.0,29.28789,3.03454,1.46669,-1.46669,0.0,-3.21242,34.14380483
37.845350,0.000000,257.929120,18.0,18.0,1.0,5.0,26.84486,3.23195,1.42886,-1.42886,0.0,-2.80321,37.25107898
62.575753,0.000000,257.342510,19.0,19.0,1.0,5.0,21.91505,2.97583,1.34074,-1.34074,0.0,-3.82322,45.63074234
57.873457,0.000000,257.489537,20.0,20.0,1.0,5.0,22.11041,3.06835,1.3446,-1.3446,0.0,-3.51643,45.22756475
60.225990,0.000000,257.414910,21.0,21.0,1.0,5.0,21.95239,3.02317,1.34148,-1.34148,0.0,-3.65455,45.55312656
50.818033,0.000000,257.752780,22.0,22.0,1.0,5.0,23.2256,3.18339,1.36597,-1.36597,0.0,-3.16243,43.05593828
24.982150,0.000000,257.969850,23.0,23.0,1.0,5.0,28.92713,3.10475,1.46131,-1.46131,0.0,-3.09154,34.56962374
29.650883,0.000000,257.994047,24.0,24.0,1.0,5.0,28.33272,3.17676,1.45229,-1.45229,0.0,-2.98867,35.29488168
7.349720,0.000000,257.608740,25.0,25.0,1.0,5.0,28.95571,2.73361,1.46173,-1.46174,0.0,-4.00014,34.53550267
13.225570,0.000000,257.789397,26.0,26.0,1.0,5.0,29.12795,2.8535,1.46431,-1.46431,0.0,-3.62191,34.33128662
15.573137,0.000000,257.841373,27.0,27.0,1.0,5.0,29.25278,2.90337,1.46617,-1.46617,0.0,-3.43686,34.18478517
3.818840,0.000000,257.521283,28.0,28.0,1.0,5.0,28.7217,2.66537,1.45821,-1.45821,0.0,-4.24535,34.81688062
63.752030,0.000000,257.300770,29.0,29.0,1.0,5.0,21.92755,2.95177,1.34099,-1.34099,0.0,-3.92494,45.60473012
54.347257,0.000000,257.595877,30.0,30.0,1.0,5.0,22.53291,3.12949,1.35282,-1.35282,0.0,-3.29284,44.37953198
1.461667,0.000000,257.460740,31.0,31.0,1.0,5.0,28.45562,2.62506,1.45417,-1.45417,0.0,-4.26057,35.14244286
53.162473,0.000000,257.652687,32.0,32.0,1.0,5.0,22.74677,3.14866,1.35692,-1.35692,0.0,-3.25142,43.96228563
23.824917,0.000000,257.970847,33.0,33.0,1.0,5.0,29.0651,3.08172,1.46337,-1.46337,0.0,-3.12161,34.40552415
16.743370,0.000000,257.876407,34.0,34.0,1.0,5.0,29.30277,2.92886,1.46691,-1.46691,0.0,-3.37447,34.12646654
9.738867,0.000000,257.677630,35.0,35.0,1.0,5.0,29.01017,2.78263,1.46255,-1.46255,0.0,-3.81148,34.47067011
51.994050,0.000000,257.696870,36.0,36.0,1.0,5.0,22.98429,3.16658,1.36143,-1.36143,0.0,-3.18798,43.50797871
6.169213,0.000000,257.581923,37.0,37.0,1.0,5.0,28.90076,2.70972,1.46091,-1.46091,0.0,-4.10376,34.6011662
