    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    7    3        26   30        0.18522         71.420         71.159            4.620            4.081         0.14142E+00    0.14142E+00    0
    7    3        30   34        0.18579         67.822         67.571            4.250            4.519         0.14142E+00    0.14142E+00    0
    7    3        34   38        0.15166         63.984         63.794            5.260            4.718         0.14142E+00    0.14142E+00    0
    7    3        38   42        0.47476         58.703         59.260            5.210            4.329         0.14142E+00    0.14142E+00    0
    7    3        28   32        0.04027         70.870         70.825            3.750            4.236         0.14142E+00    0.14142E+00    0
    7    3        36   40        0.06127         61.318         61.282            3.500            4.582         0.14142E+00    0.14142E+00    0
    7    3        40   44        0.24747         60.692         60.992            4.800            4.471         0.14142E+00    0.14142E+00    0
    7    5        14   16        0.31958         81.674         81.154            4.000            3.775         0.14142E+00    0.14142E+00    0
    7    5        16   18        0.61310         87.859         86.788            3.190            3.643         0.14142E+00    0.14142E+00    0
    7    5        18   20        0.78402         83.127         81.835            4.050            3.388         0.14142E+00    0.14142E+00    0
    7    5        20   22        0.44569         81.818         81.092            3.450            3.666         0.14142E+00    0.14142E+00    0
    7    5        22   24        0.27726         79.160         78.723            3.600            3.940         0.14142E+00    0.14142E+00    0
    7    5        24   26        0.06822         82.137         82.029            3.750            4.107         0.14142E+00    0.14142E+00    0
    7    5        26   28        0.21992         71.977         71.671            5.190            4.143         0.14142E+00    0.14142E+00    0
    7    5        28   30        0.07652         77.108         77.203            5.190            4.274         0.14142E+00    0.14142E+00    0
    7    6         9   10        0.59401         93.286         92.202            1.230            3.340         0.14142E+00    0.14142E+00    0
    7    6        10   11        0.12806         81.451         81.243            3.990            3.863         0.14142E+00    0.14142E+00    0
    7    6        11   12        0.01355         82.021         82.030            3.000            3.247         0.14142E+00    0.14142E+00    0
    7    6        12   13        0.11243         78.147         78.322            3.450            3.287         0.14142E+00    0.14142E+00    0
    7    6        13   14        0.07429         73.293         73.207            2.330            3.231         0.14142E+00    0.14142E+00    0
    7    6        15   16        0.65103         73.890         72.934            2.970            3.461         0.14142E+00    0.14142E+00    0
    8    1        44   51        1.99107         81.367         76.794            2.470            4.625         0.14142E+00    0.17049E+00    1
    8    1        51   58        0.88684         58.036         57.016            5.220            5.130         0.14142E+00    0.14142E+00    0
    8    1        60   67        0.11261         53.337         53.448            4.710            3.815         0.14142E+00    0.14142E+00    0
    8    1        41   48        1.67003         75.480         72.480            2.390            4.516         0.14142E+00    0.15593E+00    1
    8    1        48   55        1.52731         65.185         63.189            3.510            4.962         0.14142E+00    0.14276E+00    1
    8    4        31   35        0.09797         68.006         67.876            4.980            4.578         0.14142E+00    0.14142E+00    0
    8    4        39   43        0.25588         56.952         57.225            6.210            4.367         0.14142E+00    0.14142E+00    0
    8    4        33   37        0.09247         64.117         64.000            4.300            4.593         0.14142E+00    0.14142E+00    0
    8    4        37   41        0.18812         58.598         58.772            6.790            4.452         0.14142E+00    0.14142E+00    0
    8    4        41   45        0.81882         67.511         66.414            4.370            4.519         0.14142E+00    0.14142E+00    0
    8    6        15   17        0.62133         78.987         78.012            3.340            3.526         0.14142E+00    0.14142E+00    0
    8    6        17   19        0.67257         79.436         78.375            2.920            3.494         0.14142E+00    0.14142E+00    0
    8    6        19   21        0.70818         81.756         80.606            3.030            3.277         0.14142E+00    0.14142E+00    0
    8    6        21   23        0.49199         82.446         81.640            4.440            4.004         0.14142E+00    0.14142E+00    0
    8    6        23   25        0.37607         73.992         73.438            3.810            3.851         0.14142E+00    0.14142E+00    0
    8    6        25   27        0.05690         82.948         82.917            5.240            4.165         0.14142E+00    0.14142E+00    0
    8    6        27   29        0.22615         70.564         70.257            5.370            4.211         0.14142E+00    0.14142E+00    0
    8    6        29   31        0.05278         69.267         69.336            3.990            4.343         0.14142E+00    0.14142E+00    0
    8    7        10   11        0.76996         86.454         85.133            3.840            3.794         0.14142E+00    0.14142E+00    0
    8    7        11   12        0.44829         84.143         83.394            2.520            3.103         0.14142E+00    0.14142E+00    0
    8    7        12   13        0.29528         76.114         76.565            3.180            3.111         0.14142E+00    0.14142E+00    0
    8    7        13   14        0.24369         70.159         70.498            2.340            3.035         0.14142E+00    0.14142E+00    0
    8    7        15   16        0.42156         69.688         69.110            1.950            3.270         0.14142E+00    0.14142E+00    0
    8    7        16   17        0.58838         88.575         87.543            4.670            3.659         0.14142E+00    0.14142E+00    0
    9    2        45   52        1.90844         77.922         73.939            1.460            4.759         0.14142E+00    0.16594E+00    1
    9    2        52   59        0.16602         57.072         56.898            6.580            5.270         0.14142E+00    0.14142E+00    0
    9    2        59   66        0.58328         54.487         55.125            3.290            4.190         0.14142E+00    0.14142E+00    0
    9    2        54   61        0.57644         56.072         56.719            6.510            5.287         0.14142E+00    0.14142E+00    0
    9    2        61   68        1.30880         49.563         50.877            2.710            3.532         0.14142E+00    0.14142E+00    0
