    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.57195         92.522         91.075            0.600           -6.229         0.17321E+00    0.17321E+00    0
    2    1         4    5        1.37228         73.450         76.511            1.640           -3.621         0.17321E+00    0.17321E+00    0
    2    1         5    6        2.50308         51.403         55.408            0.840           -2.410         0.17321E+00    0.17321E+00    0
    2    1         6    7        0.45788         61.287         62.134            1.090            0.290         0.17321E+00    0.17321E+00    0
    2    1         7    8        1.59676         76.915         72.801            1.320            4.022         0.17321E+00    0.18564E+00    1
    2    1         8    9        2.35508         92.358         83.659            2.390            7.140         0.17321E+00    0.20505E+00    1
    2    1         9   10        3.18032         79.564         68.137            3.440            9.083         0.17321E+00    0.22084E+00    1
    3    2         4    5        2.00798         87.895         82.424            1.810           -3.169         0.17321E+00    0.17917E+00    1
    3    2         5    6        0.68364         57.596         58.771            0.830           -2.724         0.17321E+00    0.17321E+00    0
    3    2         6    7        0.54458         65.379         66.447            0.770           -1.274         0.17321E+00    0.17321E+00    0
    3    2         7    8        0.01541         78.863         78.862            0.990            1.452         0.17321E+00    0.17321E+00    0
    3    2         8    9        0.46994         92.832         91.549            1.560            3.836         0.17321E+00    0.17321E+00    0
    3    2         9   10        1.55451         79.069         74.677            2.910            5.304         0.17321E+00    0.19180E+00    1
    3    2        10   11        2.45790         68.901         61.865            6.400            7.251         0.17321E+00    0.20934E+00    1
    3    2        11   12        2.60298         72.353         63.837            6.170            8.274         0.17321E+00    0.21933E+00    1
    3    1         5    7        0.96434         58.229         59.929            0.840           -2.049         0.17321E+00    0.17321E+00    0
    3    1         7    9        0.95002         82.878         80.498            1.380            3.298         0.17321E+00    0.17528E+00    1
    3    1         9   11        2.61483         74.814         66.587            4.190            7.547         0.17321E+00    0.21110E+00    1
    3    1        11   13        3.00970         66.009         56.707            8.130           10.470         0.17321E+00    0.22465E+00    1
    3    1        13   15        2.45619         55.919         49.305           10.650           12.817         0.17321E+00    0.22637E+00    1
    3    1        15   17        0.94973         40.908         39.351           12.900           14.206         0.17321E+00    0.20214E+00    1
    3    1        17   19        0.15624         37.003         36.848           12.660           15.618         0.17321E+00    0.18068E+00    1
    3    1        19   21        0.42184         32.410         32.799           13.370           17.363         0.17321E+00    0.17321E+00    0
    4    3         5    6        0.54909         48.855         49.664            1.330           -0.116         0.17321E+00    0.17321E+00    0
    4    3         6    7        1.24305         59.048         56.888            1.170            0.333         0.17321E+00    0.17321E+00    0
    4    3         7    8        0.37328         70.171         69.391            1.230            1.994         0.17321E+00    0.17321E+00    0
    4    3         8    9        0.47055         80.752         81.891            1.840            3.540         0.17321E+00    0.17321E+00    0
    4    3         9   10        0.16297         67.046         66.734            2.940            4.403         0.17321E+00    0.17321E+00    0
    4    3        10   11        1.69925         59.351         55.671            4.490            6.080         0.17321E+00    0.19411E+00    1
    4    3        11   12        2.11333         63.066         57.409            6.950            7.079         0.17321E+00    0.21087E+00    1
    4    3        12   13        2.00043         50.804         46.590            9.350            8.857         0.17321E+00    0.20806E+00    1
    4    2         6    8        0.53697         64.597         63.565            1.050            0.530         0.17321E+00    0.17321E+00    0
    4    2         8   10        0.26426         79.748         79.135            2.190            4.048         0.17321E+00    0.17321E+00    0
    4    2        10   12        2.16747         64.455         58.775            6.040            6.925         0.17321E+00    0.20630E+00    1
    4    2        12   14        2.18097         52.575         47.537            9.840            9.987         0.17321E+00    0.21491E+00    1
    4    2        14   16        1.48134         48.525         45.180           12.810           11.758         0.17321E+00    0.21962E+00    1
    4    2        16   18        0.12728         34.000         34.148           12.210           13.382         0.17321E+00    0.18853E+00    1
    4    2        18   20        0.68937         33.167         33.859           16.770           15.089         0.17321E+00    0.17321E+00    0
    4    2        20   22        1.30298         28.036         29.150           14.750           17.421         0.17321E+00    0.17321E+00    0
    4    1         7   10        0.71527         76.791         75.165            1.690            3.308         0.17321E+00    0.17321E+00    0
    4    1        10   13        2.57855         63.549         56.475            6.500            8.353         0.17321E+00    0.21393E+00    1
    4    1        13   16        2.05898         50.387         45.526           11.420           12.225         0.17321E+00    0.22197E+00    1
    4    1        16   19        0.11524         35.323         35.186           13.350           14.466         0.17321E+00    0.18682E+00    1
    4    1        19   22        0.55534         29.639         30.124           14.020           17.454         0.17321E+00    0.17321E+00    0
    4    1        22   25        0.20249         26.488         26.399           15.630           20.745         0.17321E+00    0.17321E+00    0
    4    1        25   28        0.95922         27.986         27.214           16.110           23.361         0.17321E+00    0.17321E+00    0
    4    1        28   31        0.26461         30.124         29.966           19.180           25.217         0.17321E+00    0.17321E+00    0
    5    4         6    7        4.36390         63.653         51.192            1.620            3.432         0.17321E+00    0.22343E+00    1
    5    4         7    8        3.00620         73.710         65.399            1.350            3.962         0.17321E+00    0.19951E+00    1
