x,y,z,param,elm_id,region,cellType,Magnitude(ohm.m),Phase(mrad),Magnitude(log10),Sigma_real(log10),Sigma_imag(log10),Sensitivity(log10),Conductivity(mS/m)
53.690817,0.000000,249.633450,1.0,1.0,1.0,5.0,20.73241,4.55491,1.31665,-1.31665,0.0,-2.10805,48.23365928
54.077897,0.000000,250.041453,2.0,2.0,1.0,5.0,20.84743,4.56189,1.31905,-1.31906,0.0,-2.32673,47.96754324
45.935487,0.000000,249.061140,3.0,3.0,1.0,5.0,18.48851,4.37659,1.2669,-1.26691,0.0,-2.09409,54.08764687
67.799383,0.000000,248.630340,4.0,4.0,1.0,5.0,19.03477,4.20376,1.27955,-1.27955,0.0,-3.20687,52.53543909
57.591020,0.000000,248.363587,5.0,5.0,1.0,5.0,20.57238,4.52133,1.31328,-1.31329,0.0,-2.16065,48.60886295
46.385573,0.000000,248.810397,6.0,6.0,1.0,5.0,18.64258,4.39297,1.27051,-1.27051,0.0,-2.04872,53.64064416
68.064087,0.000000,251.799333,7.0,7.0,1.0,5.0,18.98272,4.22184,1.27836,-1.27836,0.0,-3.20689,52.67948956
66.146453,0.000000,248.748023,8.0,8.0,1.0,5.0,19.44435,4.28105,1.28879,-1.2888,0.0,-2.81836,51.42882123
53.154400,0.000000,249.874227,9.0,9.0,1.0,5.0,20.68829,4.55149,1.31572,-1.31573,0.0,-2.21633,48.33652274
59.475963,0.000000,248.119287,10.0,10.0,1.0,5.0,20.42088,4.48564,1.31007,-1.31008,0.0,-2.41304,48.96948613
70.402110,0.000000,251.942377,11.0,11.0,1.0,5.0,18.40921,4.10209,1.26504,-1.26504,0.0,-3.44429,54.32063625
49.552347,0.000000,250.030517,12.0,12.0,1.0,5.0,19.87385,4.47981,1.29828,-1.29829,0.0,-2.10526,50.31737685
57.354647,0.000000,249.499953,13.0,13.0,1.0,5.0,20.84494,4.5486,1.319,-1.31901,0.0,-2.30071,47.97327313
58.857813,0.000000,248.425453,14.0,14.0,1.0,5.0,20.49551,4.50028,1.31166,-1.31166,0.0,-2.35671,48.79117426
57.277883,0.000000,250.541653,15.0,15.0,1.0,5.0,21.0135,4.56535,1.3225,-1.3225,0.0,-2.49722,47.58845504
41.204740,0.000000,248.199380,16.0,16.0,1.0,5.0,16.53301,4.18665,1.21835,-1.21836,0.0,-1.84594,60.48505384
66.648727,0.000000,249.121970,17.0,17.0,1.0,5.0,19.31598,4.25886,1.28592,-1.28592,0.0,-3.20037,51.77060651
67.657183,0.000000,251.459630,18.0,18.0,1.0,5.0,19.13914,4.25039,1.28192,-1.28193,0.0,-3.15131,52.24895162
39.248317,0.000000,248.231037,19.0,19.0,1.0,5.0,15.8998,4.1078,1.20139,-1.2014,0.0,-1.99716,62.89387288
42.207693,0.000000,248.285653,20.0,20.0,1.0,5.0,16.8845,4.22603,1.22749,-1.22749,0.0,-1.9684,59.22591726
52.026843,0.000000,248.450083,21.0,21.0,1.0,5.0,20.14443,4.52156,1.30415,-1.30416,0.0,-2.15485,49.64151381
49.943487,0.000000,250.363610,22.0,22.0,1.0,5.0,20.04559,4.49159,1.30202,-1.30202,0.0,-2.1443,49.88628422
52.807203,0.000000,249.608487,23.0,23.0,1.0,5.0,20.58037,4.54443,1.31345,-1.31346,0.0,-2.64559,48.58999134
42.635690,0.000000,248.622197,24.0,24.0,1.0,5.0,17.07523,4.24283,1.23237,-1.23237,0.0,-2.04711,58.56436487
69.888070,0.000000,250.619573,25.0,25.0,1.0,5.0,18.60101,4.12049,1.26954,-1.26954,0.0,-3.40065,53.76052161
57.761810,0.000000,249.083503,26.0,26.0,1.0,5.0,20.74907,4.53545,1.317,-1.317,0.0,-2.36591,48.19493115
