    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    1         3    4        0.43500         58.146         58.654            1.320            1.488         0.14142E+00    0.14142E+00    0
    2    1         4    5        0.05046         67.129         67.192            1.050            1.437         0.14142E+00    0.14142E+00    0
    2    1         5    6        0.07502         63.139         63.234            1.680            1.730         0.14142E+00    0.14142E+00    0
    2    1         6    7        0.11761         60.895         61.039            1.650            1.690         0.14142E+00    0.14142E+00    0
    2    1         7    8        0.13383         60.640         60.479            1.270            1.471         0.14142E+00    0.14142E+00    0
    2    1         8    9        0.39953         60.623         60.140            1.800            1.699         0.14142E+00    0.14142E+00    0
    2    1         9   10        1.02080         56.395         55.256            1.690            1.686         0.14142E+00    0.14142E+00    0
    2    1        10   11        0.97267         53.977         52.937            1.940            1.851         0.14142E+00    0.14142E+00    0
    3    2         4    5        1.32437         80.343         78.243            1.120            1.580         0.14142E+00    0.14142E+00    0
    3    2         5    6        0.90293         73.284         71.973            2.060            1.872         0.14142E+00    0.14142E+00    0
    3    2         6    7        0.39234         68.725         68.188            1.970            1.835         0.14142E+00    0.14142E+00    0
    3    2         7    8        0.01983         66.731         66.755            1.420            1.602         0.14142E+00    0.14142E+00    0
    3    2         8    9        0.18910         65.629         65.877            1.670            1.818         0.14142E+00    0.14142E+00    0
    3    2         9   10        0.00692         60.107         60.114            1.710            1.802         0.14142E+00    0.14142E+00    0
    3    2        10   11        0.22263         57.552         57.296            1.950            1.966         0.14142E+00    0.14142E+00    0
    3    2        11   12        0.38796         57.563         57.118            2.070            2.064         0.14142E+00    0.14142E+00    0
    3    1         5    7        0.50825         68.826         68.130            1.920            1.818         0.14142E+00    0.14142E+00    0
    3    1         7    9        0.04899         64.052         63.990            1.520            1.634         0.14142E+00    0.14142E+00    0
    3    1         9   11        0.50351         57.528         56.952            1.540            1.818         0.14142E+00    0.14142E+00    0
    3    1        11   13        0.96029         52.973         51.965            1.840            1.880         0.14142E+00    0.14142E+00    0
    3    1        13   15        0.11084         56.598         56.473            1.800            1.848         0.14142E+00    0.14142E+00    0
    3    1        15   17        1.77321         57.422         55.421            2.330            1.783         0.14142E+00    0.14142E+00    0
    3    1        17   19        0.24066         50.150         50.391            1.270            1.702         0.14142E+00    0.14142E+00    0
    3    1        19   21        0.08849         53.078         52.984            2.130            2.067         0.14142E+00    0.14142E+00    0
    4    3         5    6        0.77663         66.865         67.911            2.130            1.894         0.14142E+00    0.14142E+00    0
    4    3         6    7        0.72143         65.393         64.457            2.110            1.862         0.14142E+00    0.14142E+00    0
    4    3         7    8        0.62149         63.477         62.693            1.500            1.600         0.14142E+00    0.14142E+00    0
    4    3         8    9        0.39640         61.998         61.508            1.810            1.795         0.14142E+00    0.14142E+00    0
    4    3         9   10        0.22728         56.063         55.808            1.740            1.766         0.14142E+00    0.14142E+00    0
    4    3        10   11        0.27983         53.252         52.955            1.530            1.926         0.14142E+00    0.14142E+00    0
    4    3        11   12        0.62937         53.293         52.627            1.950            2.028         0.14142E+00    0.14142E+00    0
    4    3        12   13        1.23784         46.667         45.526            1.110            1.706         0.14142E+00    0.14142E+00    0
    4    2         6    8        0.57512         65.663         64.912            1.920            1.782         0.14142E+00    0.14142E+00    0
    4    2         8   10        0.19055         61.044         60.812            1.780            1.794         0.14142E+00    0.14142E+00    0
    4    2        10   12        0.38798         54.814         54.391            1.880            1.982         0.14142E+00    0.14142E+00    0
    4    2        12   14        0.98827         51.393         50.387            1.740            1.821         0.14142E+00    0.14142E+00    0
    4    2        14   16        0.48199         54.928         54.401            1.740            1.786         0.14142E+00    0.14142E+00    0
    4    2        16   18        1.59816         54.540         52.825            1.880            1.765         0.14142E+00    0.14142E+00    0
    4    2        18   20        0.20978         51.655         51.440            2.270            1.943         0.14142E+00    0.14142E+00    0
    4    2        20   22        0.11330         52.706         52.588            2.590            2.219         0.14142E+00    0.14142E+00    0
    4    1         7   10        0.32275         62.341         61.940            1.590            1.668         0.14142E+00    0.14142E+00    0
    4    1        10   13        0.71026         53.056         52.308            1.780            1.905         0.14142E+00    0.14142E+00    0
    4    1        13   16        0.47930         55.091         54.565            1.810            1.832         0.14142E+00    0.14142E+00    0
    4    1        16   19        1.12365         53.064         51.885            1.620            1.751         0.14142E+00    0.14142E+00    0
    4    1        22   25        0.25438         48.172         48.417            1.640            1.925         0.14142E+00    0.14142E+00    0
    5    4         6    7        0.06105         77.686         77.781            1.860            1.894         0.14142E+00    0.14142E+00    0
    5    4         7    8        0.91413         77.446         76.043            1.480            1.603         0.14142E+00    0.14142E+00    0
    5    4         8    9        1.11793         75.549         73.878            2.000            1.765         0.14142E+00    0.14142E+00    0
    5    4         9   10        0.82096         67.318         66.222            1.840            1.715         0.14142E+00    0.14142E+00    0
    5    4        10   11        0.44463         62.754         62.199            1.800            1.864         0.14142E+00    0.14142E+00    0
    5    4        11   12        0.31258         61.693         61.309            2.030            1.965         0.14142E+00    0.14142E+00    0
    5    4        12   13        1.38646         54.210         52.728            1.720            1.637         0.14142E+00    0.14142E+00    0
    5    4        13   14        0.21910         61.709         61.980            1.690            1.858         0.14142E+00    0.14142E+00    0
    5    3         7    9        0.83464         72.100         70.906            1.620            1.653         0.14142E+00    0.14142E+00    0
    5    3         9   11        0.52799         61.187         60.544            1.770            1.789         0.14142E+00    0.14142E+00    0
    5    3        11   13        0.80687         54.893         54.014            1.800            1.865         0.14142E+00    0.14142E+00    0
    5    3        13   15        0.09778         58.143         58.029            1.890            1.820         0.14142E+00    0.14142E+00    0
    5    3        15   17        1.97044         58.937         56.660            1.860            1.742         0.14142E+00    0.14142E+00    0
    5    3        17   19        0.70300         52.169         51.441            1.920            1.652         0.14142E+00    0.14142E+00    0
    5    3        19   21        0.40555         54.642         54.201            2.130            2.024         0.14142E+00    0.14142E+00    0
    5    2         8   11        0.59466         65.563         64.788            1.860            1.790         0.14142E+00    0.14142E+00    0
